locus	length
NG_047346	945
NZ_CP012977	17307
NZ_CP009219	19268
NC_007208	80156
NC_021907	252689
NZ_CP007046	667306
NZ_CP017935	89621
NC_021728	20139
NC_014384	118525
NC_019884	13322
NZ_CP009995	77073
NZ_CP010147	88754
NC_002773	3179
NC_019358	11891
NC_012807	44195
NZ_CP015835	137565
NC_019121	165791
NC_020535	37285
NC_025142	108661
NZ_CP005741	3205
NZ_CP004258	6357
NZ_CP012292	39697
NC_012579	181773
NC_012562	3338
NZ_CP014913	50174
NC_015972	43190
NZ_CP014089	10275
NG_049247	1076
NC_011258	36869
NZ_CP012653	11851
NZ_CP011607	4938
NC_015853	14110
NC_008244	47561
NC_016936	54948
NC_010903	2229
NC_018959	27059
NZ_CP009366	66663
NC_008049	1307
NZ_CP013956	24657
NZ_CP012124	12484
NZ_CP008824	319976
NC_014300	44576
NZ_CP018111	67946
NZ_CP015119	103606
NZ_CP014695	7190
NZ_CP010991	121382
NZ_CP007795	933960
NC_019011	2397
NC_017319	223364
NC_011838	200231
NG_049343	928
NZ_CP018110	120326
NC_019187	7774
NC_010659	5114
NC_010912	5047
NZ_CP015723	19885
NZ_CP015800	30330
NC_019321	3211
NC_010492	49633
NZ_CP013072	108430
NC_010852	23290
NG_048932	1076
NZ_CP003951	97588
NZ_CP017579	40279
NC_011774	140001
NC_023315	85507
NC_025022	2782
NC_005018	4196
NZ_CP005904	1740
NZ_CP006633	3319
NC_006509	47890
NZ_CP017879	46186
NC_017553	280753
NC_004832	8971
NZ_CP012933	3319
NZ_CP013412	157775
NZ_CP010959	20552
NZ_CP004167	6482
NC_017962	66247
NC_013200	64508
NC_022741	1549
NC_021835	3961
NZ_CP018442	34374
NC_011073	5594
NC_011738	328635
NC_006829	9462
NC_002636	5112
NC_019258	3183
NC_010680	47642
NZ_CP016486	15538
NZ_CP011274	97874
NZ_CP009109	6935
NZ_CP012918	206714
NC_006674	14547
NC_008498	13413
NC_007094	8632
NC_014132	23275
NC_010517	37743
NC_021157	4675
NZ_CP017281	92219
NC_010940	3533
NZ_CP019571	2421
NG_048562	1100
NC_011377	2631
NC_016973	5265
NC_001853	28601
NG_048378	1172
NC_021653	9892
NG_048819	1146
NC_002774	25107
NZ_CP017933	11638
NZ_CP018691	61007
NZ_CP005193	32974
NC_017346	2241
NC_009957	126304
NC_005015	7086
NZ_CP015618	14058
NC_025006	3240
NC_023319	2683
NC_006821	6700
NG_050258	861
NC_011413	91158
NZ_CP005750	31608
NG_051846	968
NZ_CP014658	160227
NC_014247	83100
NC_007388	14407
NT_187146	6634
NT_187141	16853
NZ_CP007644	711724
NZ_CP015132	224457
NZ_CP009719	14648
NC_019130	33763
NZ_CP010580	76979
NZ_CP006263	98066
NC_013657	37510
NG_047779	1046
NZ_CP010112	314883
NG_050074	861
NC_009507	310228
NZ_CP014809	184547
NC_017227	30949
NC_020308	17094
NZ_CP017867	25284
NZ_CP010380	328905
NC_010917	4227
NZ_CP004320	12111
NZ_CP011157	141238
NC_019669	3078
NZ_CP005914	1521
NG_048097	1040
NZ_CP005779	5437
NZ_CP010128	7982
NC_015165	40303
NZ_CP010881	116803
NG_048018	860
NC_022881	2584
NC_011339	258484
NZ_CP011140	4075
NZ_CP004323	6629
NC_019431	53051
NC_025133	59859
NC_011281	91096
NZ_CP005921	1071
NZ_CP009221	31005
NG_049040	956
NC_017771	231600
NC_022573	5030
NZ_CP016292	309378
NC_010890	5015
NC_008506	47208
NZ_CP016567	37697
NG_049338	813
NC_015180	14328
NZ_CP011620	39554
NZ_CP011362	52672
NC_023140	77876
NC_024957	86856
NC_012109	68709
NC_012794	33899
NC_017424	30154
NC_019980	2975
NC_010157	68190
NC_009933	120693
NC_013596	28204
NC_017201	187880
NZ_CP015777	181677
NZ_CP009639	281957
NZ_CP018879	37455
NC_013324	29646
NZ_CP011625	1919
NG_047212	1640
NC_011892	487734
NC_012164	56055
NC_010426	2909
NC_019233	4371
NC_019794	1573
NZ_CP003995	5065
NZ_CP016475	34738
NZ_CP014577	93930
NC_009753	31999
NZ_CP019182	124201
NC_007101	13374
NC_013332	32445
NC_005564	4397
NC_020560	1683348
NZ_CP009979	94831
NC_014234	74575
NC_019281	46165
NZ_CP013606	506687
NZ_CP009342	3936
NC_013652	2330
NZ_CP012284	11687
NC_018961	27068
NZ_CP012575	145549
NZ_CP010568	7502
NC_010605	28279
NZ_CP006791	70508
NZ_CP011276	81115
NZ_CP009155	271168
NC_015955	705810
NC_017817	36478
NC_001764	7837
NC_019058	3205
NZ_CP014329	48334
NC_016583	3529
NC_017224	30718
NC_018492	218786
NG_049329	1013
NC_009623	9549
NC_018685	95433
NC_019142	5292
NZ_CP004882	14870
NZ_CP004860	422692
NZ_CP015384	15100
NZ_CP014359	94075
NZ_CP004198	2958
NC_010869	1986
NC_001393	4439
NZ_CP016313	342792
NC_013770	26615
NZ_CP003988	237512
NC_019162	54035
NZ_CP016542	9775
NG_049102	1193
NC_019558	11383
NZ_CP014321	107507
NZ_CP010227	5101
NC_012156	30088
NC_012577	94875
NC_031936	49979
NZ_CP013159	10747
NC_014819	160346
NC_015498	341282
NZ_CP013122	14511
NZ_CP008745	93833
NC_017126	182940
NG_050006	861
NZ_CP010209	61005
NC_013297	3125
NZ_CP017784	24776
NC_018989	20974
NC_011336	4579
NC_010550	1765
NZ_CP004237	4332
NZ_CP010000	82528
NC_001732	58407
NC_007389	19325
NZ_CP013269	21405
NC_007956	6610
NZ_CP019912	1486041
NC_003374	4340
NC_019699	370830
NC_005009	2297
NC_017231	25262
NC_009133	94289
NC_009934	2133
NZ_CP017670	92755
NG_048588	1240
NZ_CP016571	37697
NC_014213	347854
NZ_LT222314	70584
NZ_CP013168	3159
NZ_CP010141	174041
NC_010076	127923
NZ_CP019776	14027
NC_021528	13341
NG_047286	606
NC_010282	12459
NC_019333	3249
NG_047431	1016
NZ_CP006373	35461
NC_014162	1448
NC_020550	7480
NC_016773	5436
NT_167350	8579
NT_187153	21308
NZ_CP012989	134064
NZ_CP018726	192558
NC_019228	2062
NC_010099	1641
NZ_CP007730	113639
NC_017935	1724
NZ_CP014086	46082
NC_006907	28878
NZ_CP017077	960805
NZ_CP006665	127046
NC_012797	58704
NC_021910	269426
NZ_CP005882	1042
NZ_CP012180	74432
NC_019061	103297
NZ_HG916853	151687
NZ_CP011431	42199
NC_017414	29194
NG_047847	962
NC_019088	47506
NC_009038	7995
NC_013777	5740
NC_019282	5031
NC_025042	82146
NC_015459	41205
NC_008352	2278
NG_048001	1645
NG_047360	969
NC_004349	161613
NC_007392	35318
NC_010558	168113
NC_014233	55709
NC_019783	28080
NZ_CP012270	11689
NZ_CP010970	20840
NG_049018	876
NC_017820	3204
NC_017352	29585
NC_019262	7191
NC_014250	21875
NZ_LT599052	42401
NZ_CP013551	990934
NC_015716	34161
NZ_CP019308	241798
NG_047705	674
NZ_CP006368	488888
NG_047464	1037
NC_016833	215774
NZ_CP016523	2096
NZ_CP015237	164725
NZ_CP013379	111152
NC_015592	70499
NZ_CP009980	181674
NZ_CP015940	58092
NC_014908	119718
NC_013320	50429
NC_025143	112330
NZ_CP010131	56460
NC_019232	2980
NC_011857	36709
NZ_CP014357	93837
NC_012237	18110
NC_022539	45224
NZ_CP011928	98619
NC_015386	165572
NC_017286	7530
NC_015423	75488
NC_012259	30816
NG_050238	861
NZ_CP018710	96073
NC_013419	3448
NC_007773	75268
NZ_CP014355	37397
NZ_CP010210	6038
NC_013333	20453
NG_047436	1016
NZ_CP017874	25058
NZ_CP009462	94884
NC_009378	137010
NC_016967	68058
NC_013325	38204
NZ_CP011619	3741
NC_022533	19174
NZ_CP009917	2048
NZ_CP017866	46193
NG_050541	845
NZ_CP013514	433217
NC_017833	40949
NC_006970	2773
NZ_CP010245	7618
NC_004771	6792
NC_008271	332361
NC_025181	7639
NZ_CP016529	42652
NZ_CP004226	1263
NC_017123	3204
NG_050297	861
NZ_CP016413	316160
NZ_CP012888	14512
NC_006822	1822
NC_011081	91374
NZ_CP010391	178193
NZ_CP010955	27036
NC_012499	28812
NZ_CP018964	118495
NZ_CP015147	5562
NC_019309	71020
NC_006842	45849
NC_001670	7921
NC_012258	30433
NC_014120	489136
NZ_CP004861	293574
NC_019043	107138
NC_008438	3212
NC_011851	30280
NC_019730	260268
NC_012226	35940
NZ_CP013176	1302
NZ_CP010135	91607
NC_002675	3325
NC_014477	93629
NC_016636	17830
NZ_CP012928	62920
NZ_CP011137	6989
NC_019231	3377
NZ_CP013325	49565
NG_047812	877
NZ_CP004232	3534
NC_012180	20024
NC_014170	155327
NZ_CP015729	11778
NG_047916	686
NZ_CP017409	37427
NZ_CP012123	48556
NG_048898	1076
NZ_CP015236	197397
NZ_CP014849	38333
NC_008690	7847
NC_004843	2308
NZ_CP015740	222555
NZ_CP015733	178569
NZ_CP011142	1783
NZ_AP014953	104259
NC_018974	27070
NC_012107	22471
NZ_CP011652	3223
NC_019106	77331
NC_020826	35340
NZ_CP018124	65539
NZ_CP010582	51723
NC_019562	2891
NG_049240	837
NC_014368	79307
NC_024968	8531
NC_010078	1490
NZ_CP019589	181684
NZ_CP015993	12690
NC_019700	64128
NC_025156	2205
NZ_CP019317	54047
NC_004834	29593
NZ_CP009672	24180
NC_019766	5943
NC_024986	5162
NZ_CP011596	113992
NC_025158	1821
NC_017907	92728
NC_017273	440026
NC_019182	5458
NC_021198	250444
NC_019899	47387
NG_048915	1076
NZ_CP006808	9610
NC_009036	74000
NZ_CP014968	94016
NC_019849	1701381
NZ_CP006753	71522
NZ_CP006570	449897
NZ_CP018817	140825
NC_022125	90223
NZ_CP014875	22581
NZ_CP012733	41686
NC_002699	22437
NG_047445	1016
NZ_LN774771	53257
NG_047604	833
NC_016045	1471
NZ_CP014603	47426
NC_010230	3041
NG_050543	857
NZ_CP018954	97654
NC_020956	7473
NZ_CP016584	6647
NZ_CP013968	6163
NC_019254	54291
NZ_CP013780	122750
NC_006365	131885
NZ_CP005720	17110
NC_010846	74117
NC_019203	4116
NG_052417	533
NC_015860	6382
NC_010918	3773
NZ_CP004165	3987
NC_025187	114464
NC_010072	2745
NG_047865	1415
NZ_CP005897	1836
NZ_CP005698	3124
NC_017798	18431
NZ_CP009724	9364
NZ_CP019003	12602
NZ_CP018721	73597
NZ_CP014629	10631
NC_019062	30016
NZ_CP010356	13940
NZ_CP015084	61707
NC_008010	574127
NC_004958	4230
NC_008386	106469
NC_015603	46296
NG_049117	864
NC_015462	31972
NC_016864	93277
NZ_CP010854	95135
NC_012254	30648
NC_022884	23629
NC_015583	1161602
NC_017661	5360
NC_028464	33913
NC_020989	7500
NC_012248	27336
NC_019785	1573
NC_012159	29756
NC_009652	4259
NC_010861	3680
NC_019369	82988
NZ_CP007052	3505
NZ_CP016041	4071
NZ_CP012929	96042
NC_024981	2683
NZ_CP009433	196020
NZ_CP013603	336117
NZ_CP015793	45035
NZ_CP017833	6284
NZ_CP009869	378808
NZ_CP011520	75108
NC_005565	1288
NC_002759	39554
NZ_CP012757	42747
NC_025154	8065
NZ_CP016405	63329
NC_016971	14006
NC_014911	78982
NZ_CP018073	170854
NZ_CP010950	7770
NZ_CP018292	1231
NC_017575	1949172
NC_010097	2661
NC_008598	55939
NC_013951	147416
NC_010871	2248
NZ_CP014697	152001
NZ_CP012495	52297
NC_017460	6129
NZ_CP015215	114095
NZ_CP010010	14889
NZ_CP018833	4374
NC_010907	3578
NC_009653	3478
NC_019145	7609
NC_020811	54035
NC_012201	27763
NZ_CP014417	2415
NZ_CP009118	26565
NC_008259	7383
NC_014312	151188
NZ_CP018248	91353
NZ_CP013566	453258
NZ_LN868942	41291
NC_019039	56676
NC_003904	31317
NZ_CP016274	70304
NZ_CP009334	349601
NZ_CP004150	10552
NZ_CP012558	3960
NZ_CP004305	26556
NZ_CP007602	59661
NZ_CP007665	181831
NC_021158	14835
NC_002191	6127
NC_019090	73607
NZ_CP010244	113250
NZ_CP011606	4310
NC_006529	20417
NC_006390	33452
NC_011812	72946
NZ_CP004233	17291
NC_017318	44194
NZ_CP010211	6039
NC_012113	29673
NZ_CP009463	180693
NC_013386	27830
NZ_CP009430	422455
NZ_CP015737	620539
NZ_CP008908	50333
NC_015915	27137
NC_021668	26087
NZ_CP018106	64467
NC_015256	21516
NC_019126	43577
NC_017734	8304
NC_025017	3037
NC_017148	3035
NC_017330	3180
NC_013319	29254
NC_017101	191427
NZ_CP004195	2023
NZ_CP013540	442592
NC_020180	162202
NG_048486	809
NZ_CP010087	76848
NC_019163	41187
NZ_CP019002	112917
NZ_CP004155	672
NC_016040	59212
NC_002118	37329
NC_010879	23156
NZ_CP013558	81923
NC_020051	201822
NZ_CP011640	73100
NZ_CP005087	87635
NC_015741	93578
NZ_CP015808	45035
NZ_CP008817	155838
NC_020798	47151
NG_048987	1076
NZ_CP014309	793876
NC_011973	239246
NZ_CP014675	253508
NG_047463	1043
NC_005208	2779
NZ_HG813248	86652
NC_001755	2935
NZ_CP012535	14291
NZ_CP007047	518052
NG_050302	861
NC_010720	75089
NZ_CP010578	232994
NC_013784	37066
NC_013549	6521
NC_019239	5649
NZ_CP019564	20658
NZ_CP014489	149732
NC_021518	50195
NZ_CP011384	23766
NC_021922	6852
NZ_CP016560	707056
NZ_CP014198	7057
NT_187165	11314
NG_048996	962
NC_023903	113640
NC_025197	66851
NC_020122	34826
NG_047321	764
NZ_CP019238	71276
NZ_CP008719	2101
NC_015575	8198
NC_005249	219385
NC_008762	21611
NC_021624	148497
NC_017373	25916
NZ_CP004274	5721
NC_009980	61571
NC_010849	32759
NZ_CP018455	162552
NC_020086	80105
NZ_CP005749	32501
NC_019337	30498
NC_024969	9892
NZ_CP015232	147082
NZ_CP012185	850061
NC_019388	57223
NC_010405	4485
NZ_CP004302	7982
NZ_CP013332	52443
NC_019885	10556
NG_047815	935
NC_004944	10877
NC_018751	3408
NC_019981	6074
NC_016601	66907
NC_008381	488135
NZ_CP011527	27490
NZ_LN774770	55671
NC_013972	28243
NZ_CP013647	10080
NZ_CP009939	52166
NC_019334	34526
NZ_CP014448	32098
NZ_CP015151	14888
NZ_CP009767	101428
NZ_CP009580	129463
NC_017334	5246
NC_006910	11188
NG_047353	992
NC_004977	1527
NC_013437	117047
NC_019097	98809
NC_019381	13551
NC_012215	4237
NC_017181	31692
NZ_AP014826	32475
NZ_CP012884	194742
NZ_CP004181	1654
NC_019135	4664
NC_002102	19360
NZ_CP018280	4349
NC_009128	34606
NC_013293	20730
NZ_AP014819	16994
NZ_CP013660	13524
NZ_CP017021	15283
NZ_CP018463	167496
NZ_CP008990	33703
NZ_CP014114	36907
NC_022880	38528
NZ_CP017783	29119
NZ_CP005683	2705
NG_050516	681
NC_011526	39280
NC_010404	94413
NC_016596	690334
NC_022739	321653
NC_004936	5622
NC_019093	59260
NZ_CP013509	501077
NC_011743	55150
NC_021496	40038
NZ_CP015811	19063
NZ_CP013983	2638
NZ_CP015166	46811
NC_022043	294017
NC_010901	64980
NC_019758	20876
NZ_CP004291	1545
NC_019205	4613
NC_024978	110137
NC_008488	5219
NC_014135	3196
NC_020539	23758
NZ_CP013805	33533
NZ_CP015858	74177
NC_016835	463906
NZ_CP007740	68999
NC_010880	21344
NZ_CP009619	380714
NZ_CP014428	27068
NZ_CP010882	122966
NC_009340	25309
NC_013775	9631
NC_016009	19557
NC_010929	244978
NG_049542	786
NZ_CP009439	170574
NC_013785	33915
NC_017536	133055
NC_013214	3035
NC_020266	19866
NC_004532	4523
NG_050105	861
NC_007104	5108
NZ_CP004256	8321
NG_050121	861
NC_002002	6281
NC_010859	6710
NZ_CP007608	2062
NC_018493	40993
NC_017350	22317
NZ_CP009690	10361
NZ_CP016624	47893
NZ_CP014401	4397
NC_022585	6774
NC_012232	27759
NZ_CP018825	45240
NC_021278	172814
NC_025155	3818
NC_004531	3918
NZ_CP015303	7502
NC_006278	7222
NC_012885	143963
NZ_CP013502	433056
NC_010888	2248
NZ_CP012892	17981
NG_047231	1010
NZ_CP013761	158156
NZ_CP019643	12282
NZ_CP011977	218836
NZ_CP015741	155026
NZ_CP007725	16810
NC_003789	3564
NZ_CP012276	56551
NC_004566	19389
NC_016861	106510
NC_014504	43617
NG_047612	833
NZ_HG938354	1807065
NC_014017	68342
NC_013104	8688
NZ_CP004865	8240
NZ_CP004193	1413
NG_047919	686
NC_004900	4970
NZ_CP017388	10077
NZ_CP015757	25039
NZ_CP015841	7619
NZ_CP014889	19623
NZ_CP014318	5167
NZ_CP009861	47560
NZ_CP008791	205586
NZ_CP016643	26982
NC_021517	40147
NZ_CP009722	96210
NZ_CP010363	139941
NZ_CP013199	14987
NZ_CP017958	34572
NG_051704	860
NC_002580	3555
NZ_CP016590	293592
NC_011522	7904
NZ_CP005879	10048
NC_001843	1222
NG_048081	1040
NZ_CP013553	340631
NG_050123	861
NZ_CP004179	2467
NZ_CP019295	157074
NC_021519	74078
NZ_CP012862	395438
NZ_CP009547	305110
NC_011785	28885
NZ_CP014876	11878
NZ_CP013807	181234
NC_018981	30636
NC_004163	7344
NC_017787	50097
NZ_CP013193	66990
NC_004565	74082
NC_019985	48368
NG_049469	1001
NC_017778	173158
NZ_CP008898	62247
NZ_CP013760	32154
NG_047743	437
NC_018965	35510
NZ_CP011283	58197
NC_015055	16030
NC_014232	101857
NC_016851	76221
NZ_CP016013	130039
NC_022542	41950
NZ_CP018853	49382
NZ_CP004859	2062
NG_049032	1011
NC_011767	5620
NZ_CP008828	15096
NC_002483	99159
NZ_CP005730	7545
NC_019298	5198
NZ_CP012170	263138
NC_018998	91019
NZ_CP012416	82130
NG_047840	938
NC_019051	6211
NC_015223	92707
NZ_CP014770	6421
NZ_CP019795	60858
NC_016747	4245
NC_006145	1828
NZ_CP010880	30855
NC_021080	198917
NC_025160	2134
NZ_CP005798	2653
NC_024985	3261
NC_012890	2802
NZ_LN890521	98776
NZ_CP009542	94807
NC_018699	36602
NC_018517	14935
NC_001371	6646
NC_020962	7500
NC_006877	9540
NZ_CP015000	49021
NZ_CP013569	96338
NC_009474	4909
NZ_CP013343	4328
NC_015864	28546
NC_012250	29459
NC_010887	1315
NZ_CP004197	3018
NZ_CP010856	254955
NZ_CP018270	12117
NC_011836	59182
NC_019373	2656
NC_009602	121239
NZ_CP016822	107688
NC_016624	478032
NZ_CP016386	3904
NZ_CP009327	181765
NZ_CP003710	33915
NZ_CP009319	26710
NZ_CP013565	431484
NC_019366	13005
NZ_CP004289	2652
NC_005002	1983
NC_013201	221862
NZ_CP014009	224263
NC_012166	32795
NC_010941	4236
NC_005915	49112
NZ_CP005932	2836
NZ_CP005903	1380
NG_051879	1460
NZ_LT222315	143614
NZ_CP018094	16037
NC_022111	1770419
NZ_CP019021	1459
NC_004747	3531
NC_001372	7502
NG_047849	962
NZ_CP005917	1281
NZ_CP004249	1502
NZ_CP005803	2366
NZ_CP014813	26534
NC_014626	243645
NZ_CP009599	55939
NC_003425	5280
NZ_CP018273	9579
NC_019267	12957
NZ_CP010305	94730
NC_002109	4442
NC_004808	210614
NC_012512	26523
NC_013208	7907
NC_011657	3091
NZ_CP013152	27119
NC_020958	7492
NC_002138	6159
NC_007930	242436
NC_012656	181677
NC_023911	277682
NZ_CP013035	44064
NG_047537	1958
NZ_CP004873	65873
NZ_CP019212	4376
NZ_CP008906	176943
NC_019168	5044
NG_052055	788
NZ_CP013785	33546
NZ_CP013153	25231
NZ_CP019210	45501
NZ_CP013042	36664
NZ_CP017877	55234
NC_016969	4536
NC_002569	1022
NC_019181	4304
NC_015429	18513
NC_018694	54484
NC_020994	56267
NC_002579	25407
NC_004528	9935
NG_049173	857
NC_014544	71826
NC_017649	4197
NZ_CP014946	16905
NG_048910	1035
NC_007607	182726
NG_047562	917
NG_049982	1088
NZ_CP015991	76251
NC_013393	23263
NC_020909	118287
NZ_HG813246	58811
NZ_CP005088	75938
NC_020265	3352
