	target name	taccession	query name	qaccession	fE-value	fscore	fbias	dE-value	dscore	dbias	exp	reg	clu	ov	env	dom	rep	inc	description of target	qlen	plasmid ID
55	TEM	RF0126	ref|YP_758647.1|	-	4.399999999999998e-205	672.1	0.0	4.899999999999998e-205	672.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Beta lactamase (plasmid) [Pseudomonas aeruginosa]	286.0	NC_008357
57	TetA	RF0127	ref|YP_758652.1|	-	2.9999999999999984e-210	690.9	26.0	3.2999999999999987e-210	690.7	26.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline exporter protein (plasmid) [Pseudomonas aeruginosa]	399.0	NC_008357
60	ANT3	RF0027	ref|YP_758708.1|	-	3.799999999999999e-167	547.0	1.1	4.299999999999999e-167	546.8	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Pseudomonas aeruginosa]	262.0	NC_008357
62	TetA	RF0127	ref|YP_190205.1|	-	1.899999999999999e-212	698.2	25.7	2.0999999999999994e-212	698.0	25.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline efflux protein (plasmid) [Escherichia coli]	399.0	NC_006671
65	Chlor_Acetyltrans_CAT	RF0050	ref|YP_190213.1|	-	2.5e-53	173.8	0.0	3.1999999999999996e-53	173.5	0.0	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Escherichia coli]	210.0	NC_006671
66	ANT3	RF0027	ref|YP_190214.1|	-	1.5999999999999997e-145	476.2	0.1	1.6999999999999996e-145	476.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Escherichia coli]	262.0	NC_006671
68	TEM	RF0126	ref|YP_190222.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Escherichia coli]	286.0	NC_006671
70	APH3'	RF0173	ref|YP_788126.1|	-	7.099999999999997e-84	274.4	0.0	8.4e-84	274.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside-3'-O-phosphotransferase (plasmid) [Escherichia coli]	264.0	NC_008460
72	APH6	RF0034	ref|YP_788128.1|	-	3.099999999999999e-115	377.3	3.2	3.4999999999999993e-115	377.2	3.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin resistance protein (plasmid) [Escherichia coli]	266.0	NC_008460
73	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	ref|YP_794147.1|	-	1.999999999999999e-204	671.4	0.7	2.199999999999999e-204	671.3	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Escherichia coli]	380.0	NC_008490
75	TetD	RF0130	ref|YP_908601.1|	-	1.3999999999999993e-269	886.3	34.1	1.599999999999999e-269	886.1	34.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	class D tetracyline reistace gene (plasmid) [Photobacterium damselae subsp. piscicida]	394.0	NC_008613
78	TetA-B	RF0128	ref|YP_001101850.1|	-	4.1999999999999984e-278	914.5	30.6	4.699999999999998e-278	914.4	30.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein A, class B (plasmid) [Yersinia ruckeri]	401.0	NC_009139
81	APH3''	RF0172	ref|YP_001101856.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin resistance protein A (plasmid) [Yersinia ruckeri]	267.0	NC_009139
83	APH6	RF0034	ref|YP_001101857.1|	-	4.899999999999999e-149	488.3	1.7	5.3999999999999985e-149	488.1	1.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin resistance protein B (plasmid) [Yersinia ruckeri]	276.0	NC_009139
84	ANT3	RF0027	ref|NP_863002.1|	-	4.3999999999999984e-169	553.4	1.1	4.899999999999998e-169	553.2	1.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Escherichia coli]	263.0	NC_004998
86	AAC3-I	RF0003	ref|NP_863004.1|	-	1.6999999999999998e-109	355.8	0.6	1.8999999999999998e-109	355.7	0.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Aac(3)-Ia (plasmid) [Escherichia coli]	154.0	NC_004998
87	AAC6-Ib	RF0005	ref|NP_863005.1|	-	2.2999999999999992e-133	434.2	0.1	2.6999999999999995e-133	434.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	Aac(6)-Ib (plasmid) [Escherichia coli]	210.0	NC_004998
88	SHV-LEN	RF0119	ref|NP_863013.1|	-	9.999999999999998e-204	667.6	2.6	1.0999999999999996e-203	667.5	2.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	BlaSHV-5 (plasmid) [Escherichia coli]	286.0	NC_004998
90	macB	RF0089	ref|YP_444080.1|	-	3.299999999999998e-201	662.4	10.9	3.7999999999999986e-201	662.2	10.9	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	EtsB (plasmid) [Escherichia coli]	646.0	NC_007675
91	msbA	RF0107	ref|YP_444107.1|	-	5.399999999999998e-212	697.8	2.6	2.5999999999999994e-109	358.8	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	IroC (plasmid) [Escherichia coli]	1261.0	NC_007675
93	ABC_efflux	RF0007	ref|YP_001294701.1|	-	2.2e-83	273.5	0.8	3.5999999999999994e-83	272.8	0.8	1.3	1.0	0.0	0.0	1.0	1.0	1.0	1.0	w0037 (plasmid) [Escherichia coli]	706.0	NC_009602
94	Chlor_Acetyltrans_CAT	RF0050	ref|YP_001595586.1|	-	5.099999999999999e-92	300.3	12.4	5.699999999999999e-92	300.2	12.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Staphylococcus aureus]	215.0	NC_010111
95	TetA-B	RF0128	ref|YP_195816.1|	-	5.999999999999997e-277	910.7	30.5	6.799999999999997e-277	910.5	30.5	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetB (plasmid) [[Haemophilus] parasuis]	424.0	NC_006828
98	PC1	RF0111	ref|YP_536855.1|	-	2.0999999999999987e-185	607.3	21.8	2.299999999999999e-185	607.2	21.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase (plasmid) [Staphylococcus aureus]	281.0	NC_007931
100	blaR1	RF0043	ref|YP_536856.1|	-	0.0	1354.0	60.7	0.0	1353.9	60.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	bla regulator protein blaR1 (plasmid) [Staphylococcus aureus]	585.0	NC_007931
101	Chlor_Acetyltrans_CAT	RF0050	ref|NP_052167.1|	-	3.0999999999999987e-91	297.8	12.9	3.399999999999999e-91	297.6	12.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	CAT protein (plasmid) [Staphylococcus aureus]	215.0	NC_002096
102	tet_MFS_efflux	RF0134	ref|NP_053795.1|	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tetracycline resistance protein (plasmid) [Staphylococcus aureus]	459.0	NC_001767
104	CTXM	RF0059	ref|NP_863495.1|	-	9.999999999999996e-192	628.4	4.9	1.0999999999999995e-191	628.3	4.9	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase CTX-M-16 (plasmid) [Klebsiella pneumoniae]	291.0	NC_005015
106	ANT3	RF0027	ref|YP_245440.1|	-	1.5999999999999997e-145	476.2	0.1	1.6999999999999996e-145	476.0	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Pseudomonas aeruginosa]	262.0	NC_007100
108	AAC3-I	RF0003	ref|YP_245441.1|	-	1.4999999999999996e-106	346.3	0.8	1.7e-106	346.1	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside acetyltransferase (plasmid) [Pseudomonas aeruginosa]	154.0	NC_007100
109	ClassA	RF0053	ref|YP_245472.1|	-	3.199999999999999e-104	340.9	0.0	3.899999999999999e-104	340.6	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	class-A beta-lactamase (plasmid) [Pseudomonas aeruginosa]	293.0	NC_007100
111	APH3''	RF0172	ref|YP_891141.1|	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside-3''-phosphotransferase (plasmid) [Escherichia coli]	267.0	NC_008597
113	APH6	RF0034	ref|YP_891142.1|	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside-6''-phosphotransferase (plasmid) [Escherichia coli]	278.0	NC_008597
114	Chlor_Acetyltrans_CAT	RF0050	ref|NP_943087.1|	-	1.8999999999999997e-94	308.3	8.7	2.0999999999999998e-94	308.1	8.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	CAT (plasmid) [Staphylococcus aureus]	215.0	NC_005243
115	APH3	RF0033	ref|NP_863156.1|	-	8.800000000000001e-20	64.1	0.1	8.800000000000001e-20	64.1	0.1	1.2	1.0	0.0	0.0	1.0	1.0	1.0	1.0	kanamycin resistance (plasmid) [Enterococcus faecium]	116.0	NC_005000
116	ANT6	RF0029	ref|NP_863159.1|	-	5.899999999999998e-173	566.7	9.7	6.2999999999999975e-173	566.6	9.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	streptomycin aminoglycoside 6-adenyltransferase (plasmid) [Enterococcus faecium]	302.0	NC_005000
118	ErmB	RF0070	ref|NP_863164.1|	-	1.0999999999999996e-173	568.2	16.1	1.1999999999999995e-173	568.0	16.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	erythromycin resistance transferase (plasmid) [Enterococcus faecium]	245.0	NC_005000
120	Chlor_Acetyltrans_CAT	RF0050	ref|NP_863168.1|	-	1.8999999999999997e-94	308.3	8.7	2.0999999999999998e-94	308.1	8.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Enterococcus faecium]	215.0	NC_005000
121	Chlor_Acetyltrans_CAT	RF0050	ref|NP_040437.1|	-	9.9e-87	283.1	1.2	1.0999999999999999e-86	282.9	1.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	hypothetical protein pC194_p3 (plasmid) [Staphylococcus aureus]	216.0	NC_002013
122	vanZ	RF0160	ref|YP_976074.1|	-	3.1999999999999993e-103	335.5	18.6	3.5999999999999993e-103	335.3	18.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	teicoplanin resistance protein (plasmid) [Enterococcus faecium]	161.0	NC_008768
123	vanY	RF0159	ref|YP_976075.1|	-	7.499999999999998e-129	422.4	4.2	9.399999999999996e-129	422.1	4.2	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanY protein (plasmid) [Enterococcus faecium]	303.0	NC_008768
124	vanX	RF0158	ref|YP_976076.1|	-	6.399999999999998e-117	381.3	0.1	7.099999999999998e-117	381.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanX protein (plasmid) [Enterococcus faecium]	202.0	NC_008768
125	vanA	RF0149	ref|YP_976077.1|	-	8.899999999999995e-245	803.8	0.8	9.899999999999995e-245	803.6	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanA protein (plasmid) [Enterococcus faecium]	343.0	NC_008768
126	vanH	RF0153	ref|YP_976078.1|	-	2.2999999999999988e-196	644.0	0.7	2.499999999999999e-196	643.9	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanH protein (plasmid) [Enterococcus faecium]	322.0	NC_008768
127	vanS	RF0155	ref|YP_976079.1|	-	9.199999999999997e-148	485.0	6.4	9.999999999999997e-148	484.8	6.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanS protein (plasmid) [Enterococcus faecium]	384.0	NC_008768
128	vanR	RF0154	ref|YP_976080.1|	-	1.1999999999999997e-107	351.6	1.4	1.2999999999999996e-107	351.4	1.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanR protein (plasmid) [Enterococcus faecium]	231.0	NC_008768
129	tet_MFS_efflux	RF0134	ref|YP_001649337.1|	-	1.0999999999999999e-104	343.4	38.2	1.1999999999999997e-104	343.2	38.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	tet (plasmid) [Staphylococcus aureus]	459.0	NC_010262
131	APH3	RF0033	ref|YP_001687822.1|	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside 3'-phosphotransferase (plasmid) [Escherichia coli]	271.0	NC_004429
133	Chlor_Acetyltrans_CAT	RF0050	ref|YP_001687824.1|	-	2.3999999999999995e-60	196.8	1.7	2.9e-60	196.6	1.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Escherichia coli]	145.0	NC_004429
134	TetA	RF0127	ref|YP_001687825.1|	-	1.9999999999999995e-187	615.7	31.1	2.1999999999999998e-187	615.6	31.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	TetA (plasmid) [Escherichia coli]	396.0	NC_004429
137	TEM	RF0126	ref|YP_001693174.1|	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	beta-lactamase TEM precursor (plasmid) [Escherichia coli]	286.0	NC_010378
139	MexE	RF0098	ref|YP_001693237.1|	-	2.8999999999999997e-108	355.2	5.5	3.499999999999999e-108	354.9	5.5	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	OqxA membrane-fusion protein (plasmid) [Escherichia coli]	391.0	NC_010378
140	RND_efflux	RF0115	ref|YP_001693238.1|	-	0.0	1084.2	12.2	0.0	1083.9	12.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	OqxB integral membrane protein (plasmid) [Escherichia coli]	1050.0	NC_010378
141	macB	RF0089	ref|YP_001711875.1|	-	3.299999999999998e-201	662.4	10.9	3.7999999999999986e-201	662.2	10.9	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	EtsB (plasmid) [Escherichia coli]	646.0	NC_010409
142	msbA	RF0107	ref|YP_001711888.1|	-	3.0999999999999983e-211	695.3	2.5	1.6999999999999996e-108	356.2	0.0	2.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	IroC (plasmid) [Escherichia coli]	1219.0	NC_010409
144	ClassD	RF0056	ref|YP_001736307.1|	-	4.599999999999999e-110	359.7	0.1	5.099999999999999e-110	359.6	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	OXA-58 oxacillinase (plasmid) [Acinetobacter baumannii]	280.0	NC_010481
145	ABC_efflux	RF0007	ref|YP_001736316.1|	-	1e-85	281.2	3.8	1.2999999999999998e-85	280.9	3.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	macrolide efflux protein (plasmid) [Acinetobacter baumannii]	491.0	NC_010481
146	Chlor_Acetyltrans_CAT	RF0050	ref|YP_001718362.1|	-	9.9e-87	283.1	1.2	1.0999999999999999e-86	282.9	1.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Staphylococcus aureus]	216.0	NC_010426
147	Chlor_Acetyltrans_CAT	RF0050	ref|YP_001718364.1|	-	9.9e-87	283.1	1.2	1.0999999999999999e-86	282.9	1.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	chloramphenicol acetyltransferase (plasmid) [Staphylococcus aureus]	216.0	NC_010427
148	vanZ	RF0160	ref|YP_001019032.1|	-	3.1999999999999993e-103	335.5	18.6	3.5999999999999993e-103	335.3	18.6	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	teicoplanin resistance protein (plasmid) [Enterococcus faecium]	161.0	NC_008821
149	vanY	RF0159	ref|YP_001019033.1|	-	7.499999999999998e-129	422.4	4.2	9.399999999999996e-129	422.1	4.2	1.1	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanY protein (plasmid) [Enterococcus faecium]	303.0	NC_008821
150	vanX	RF0158	ref|YP_001019034.1|	-	6.399999999999998e-117	381.3	0.1	7.099999999999998e-117	381.1	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanX protein (plasmid) [Enterococcus faecium]	202.0	NC_008821
151	vanA	RF0149	ref|YP_001019035.1|	-	8.899999999999995e-245	803.8	0.8	9.899999999999995e-245	803.6	0.8	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanA protein (plasmid) [Enterococcus faecium]	343.0	NC_008821
152	vanH	RF0153	ref|YP_001019036.1|	-	2.2999999999999988e-196	644.0	0.7	2.499999999999999e-196	643.9	0.7	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanH protein (plasmid) [Enterococcus faecium]	322.0	NC_008821
153	vanS	RF0155	ref|YP_001019037.1|	-	9.199999999999997e-148	485.0	6.4	9.999999999999997e-148	484.8	6.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanS protein (plasmid) [Enterococcus faecium]	384.0	NC_008821
154	vanR	RF0154	ref|YP_001019038.1|	-	1.1999999999999997e-107	351.6	1.4	1.2999999999999996e-107	351.4	1.4	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	VanR protein (plasmid) [Enterococcus faecium]	231.0	NC_008821
155	ANT	RF0166	ref|YP_209623.1|	-	8.9e-74	241.0	0.1	1.0999999999999997e-73	240.7	0.1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	aminoglycoside resistance protein (plasmid) [Pasteurella multocida]	261.0	NC_006868
156	ErmC	RF0071	ref|YP_001901402.1|	-	1.1999999999999995e-171	561.4	23.2	1.3999999999999994e-171	561.3	23.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	ErmC (plasmid) [Staphylococcus aureus]	244.0	NC_010685
158	ErmC	RF0071	ref|YP_001901404.1|	-	1.1999999999999995e-171	561.4	23.2	1.3999999999999994e-171	561.3	23.2	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	ErmC (plasmid) [Staphylococcus aureus]	244.0	NC_010686
