	locus	Genus	Species	environment	character	IS26	length	CDS	gene counts	Gene_proportion
309	NC_010377	Yersinia	enterocolitica		mosaic		95499.0	232.0	0.0	0.0
311	NC_014508	Enterococcus	faecalis		mosaic		32388.0	29.0	2.0	0.06896551724137931
312	NC_015056	Yersinia	pestis		mosaic		77072.0	116.0	0.0	0.0
314	NC_007594	Enterococcus	faecium		static		52890.0	60.0	0.0	0.0
315	NC_007773	Clostridium	perfringens		static		75268.0	73.0	0.0	0.0
323	NC_011409	Haemophilus	influenzae		mosaic		59393.0	62.0	3.0	0.04838709677419355
324	NC_007206	Haemophilus	influenzae		static		32628.0	34.0	0.0	0.0
326	NC_012555	Enterobacter	cloacae		mosaic		318782.0	309.0	11.0	0.03559870550161812
327	NC_014233	Escherichia	coli		mosaic		55709.0	52.0	0.0	0.0
328	NC_015068	Yersinia	pestis		mosaic		36085.0	51.0	0.0	0.0
331	NC_015861	Lactococcus	lactis		static		19244.0	20.0	0.0	0.0
332	NC_015863	Lactococcus	lactis		static		23395.0	22.0	0.0	0.0
333	NC_015864	Lactococcus	lactis		static		28546.0	26.0	0.0	0.0
334	NC_015862	Lactococcus	lactis		static		48978.0	47.0	0.0	0.0
335	NC_015872	Escherichia	coli		mosaic		35947.0	40.0	1.0	0.025
336	NC_015900	Lactococcus	lactis		static		18977.0	21.0	0.0	0.0
337	NC_015901	Lactococcus	lactis		mosaic		22166.0	19.0	1.0	0.05263157894736842
338	NC_015902	Lactococcus	lactis		static		53876.0	41.0	0.0	0.0
339	NC_015912	Lactococcus	lactis		static		21728.0	14.0	0.0	0.0
341	NC_009137	Lactococcus	lactis		mosaic		16404.0	15.0	0.0	0.0
343	NC_011382	Klebsiella	pneumoniae		mosaic		23753.0	24.0	2.0	0.08333333333333333
344	NC_011522	Staphylococcus	aureus		static		7904.0	13.0	1.0	0.07692307692307693
346	NC_004971	Borrelia	burgdorferi		static		21170.0	31.0	0.0	0.0
348	NC_005247	Erwinia	amylovora		static		30314.0	25.0	0.0	0.0
349	NC_006979	Streptococcus	pyogenes		mosaic		28975.0	35.0	1.0	0.02857142857142857
350	NC_013121	Escherichia	coli		mosaic		64471.0	79.0	6.0	0.0759493670886076
351	NC_014369	Staphylococcus	aureus		mosaic		28150.0	28.0	1.0	0.03571428571428571
352	NC_014959	Enterococcus	faecium		mosaic		39032.0	41.0	10.0	0.24390243902439024
353	NC_015054	Yersinia	pestis		mosaic		35044.0	44.0	0.0	0.0
360	NC_015972	Serratia	marcescens		static		43190.0	31.0	0.0	0.0
361	NC_016009	Enterococcus	faecium		mosaic		19557.0	28.0	2.0	0.07142857142857142
362	NC_016039	Escherichia	coli		mosaic		70060.0	97.0	1.0	0.010309278350515464
363	NC_016053	Xanthomonas	arboricola		static		41102.0	43.0	0.0	0.0
364	NC_016600	Pseudonocardia	dioxanivorans		static		45552.0	43.0	0.0	0.0
365	NC_016643	Staphylococcus	saprophyticus		mosaic		36907.0	35.0	0.0	0.0
367	NC_016852	Aeromonas	hydrophila		static		8979.0	14.0	1.0	0.07142857142857142
369	NC_016966	Klebsiella	pneumoniae		mosaic		220824.0	219.0	6.0	0.0273972602739726
371	NC_016974	Providencia	stuartii		mosaic		178277.0	148.0	14.0	0.0945945945945946
374	NC_016980	Klebsiella	pneumoniae		mosaic		267242.0	180.0	6.0	0.03333333333333333
375	NC_016976	Klebsiella	pneumoniae		mosaic		170810.0	202.0	3.0	0.01485148514851485
378	NC_017489	Lactococcus	lactis		static		8277.0	10.0	0.0	0.0
379	NC_017478	Lactococcus	lactis		static		47165.0	40.0	1.0	0.025
380	NC_017772	Pseudonocardia	dioxanivorans		static		24346.0	18.0	0.0	0.0
381	NC_005705	Acidipropionibacterium	jensenii		mosaic		6868.0	10.0	0.0	0.0
384	NC_004058	Haemophilus	influenzae		mosaic		32379.0	34.0	0.0	0.0
391	NC_008445	Enterococcus	faecalis		mosaic		50237.0	57.0	4.0	0.07017543859649122
396	NC_005017	Yersinia	enterocolitica		mosaic		67720.0	66.0	0.0	0.0
397	NC_005088	Delftia	acidovorans		mosaic		67066.0	69.0	0.0	0.0
400	NC_016967	Enterococcus	faecium		mosaic		68058.0	63.0	0.0	0.0
401	NC_017908	Mycobacterium	abscessus		mosaic		56265.0	61.0	3.0	0.04918032786885246
402	NC_010257	Escherichia	coli		mosaic		32014.0	38.0	0.0	0.0
403	NC_005054	Staphylococcus	aureus		mosaic		57889.0	57.0	11.0	0.19298245614035087
405	NC_005127	Staphylococcus	aureus		mosaic		21845.0	25.0	3.0	0.12
407	NC_013514	Enterococcus	faecalis		mosaic		27815.0	32.0	1.0	0.03125
409	NC_017498	Lactococcus	lactis		mosaic		10372.0	13.0	0.0	0.0
410	NC_017500	Lactococcus	lactis		static		75814.0	61.0	0.0	0.0
411	NC_013551	Lactococcus	lactis		mosaic		13332.0	14.0	0.0	0.0
412	NC_010281	Bacillus	thuringiensis		static		12095.0	11.0	0.0	0.0
413	NC_010895	Bacillus	thuringiensis		static		14841.0	13.0	0.0	0.0
415	NC_010112	Vibrio	sp.		static		52527.0	63.0	0.0	0.0
417	NC_016601	Pseudonocardia	dioxanivorans		static		66907.0	55.0	0.0	0.0
419	NC_009444	Pseudomonas	fluorescens		static		425094.0	474.0	0.0	0.0
420	NC_013128	Borrelia	burgdorferi		static		48220.0	58.0	0.0	0.0
421	NC_013319	Staphylococcus	aureus		mosaic		29254.0	32.0	3.0	0.09375
422	NC_013320	Staphylococcus	aureus		mosaic		50429.0	57.0	3.0	0.05263157894736842
423	NC_013289	Staphylococcus	aureus		mosaic		27068.0	36.0	3.0	0.08333333333333333
424	NC_013372	Staphylococcus	epidermidis		mosaic		43807.0	55.0	4.0	0.07272727272727272
425	NC_013387	Staphylococcus	sp.		mosaic		32487.0	42.0	3.0	0.07142857142857142
426	NC_018952	Staphylococcus	aureus		mosaic		33701.0	43.0	0.0	0.0
427	NC_013338	Staphylococcus	aureus		mosaic		50500.0	55.0	3.0	0.05454545454545454
428	NC_013339	Staphylococcus	aureus		mosaic		42198.0	50.0	2.0	0.04
433	NC_013351	Staphylococcus	aureus		mosaic		26016.0	36.0	2.0	0.05555555555555555
434	NC_013352	Staphylococcus	aureus		mosaic		23983.0	29.0	2.0	0.06896551724137931
437	NC_013322	Staphylococcus	aureus		mosaic		27435.0	29.0	0.0	0.0
438	NC_013373	Staphylococcus	sp.		static		64909.0	78.0	0.0	0.0
439	NC_013323	Staphylococcus	aureus		static		33660.0	44.0	2.0	0.045454545454545456
440	NC_013326	Staphylococcus	aureus		mosaic		33702.0	42.0	0.0	0.0
441	NC_018972	Staphylococcus	aureus		mosaic		27268.0	34.0	2.0	0.058823529411764705
442	NC_013329	Staphylococcus	aureus		static		38045.0	51.0	0.0	0.0
443	NC_013374	Staphylococcus	epidermidis		mosaic		37564.0	46.0	2.0	0.043478260869565216
445	NC_013303	Staphylococcus	aureus		mosaic		20653.0	25.0	3.0	0.12
446	NC_013304	Staphylococcus	aureus		mosaic		20729.0	25.0	3.0	0.12
447	NC_013343	Staphylococcus	aureus		mosaic		43892.0	49.0	2.0	0.04081632653061224
448	NC_013317	Enterococcus	faecium		mosaic		21806.0	27.0	7.0	0.25925925925925924
449	NC_013347	Staphylococcus	aureus		mosaic		22694.0	27.0	0.0	0.0
450	NC_013348	Staphylococcus	aureus		mosaic		45052.0	59.0	2.0	0.03389830508474576
451	NC_013349	Staphylococcus	aureus		static		16428.0	22.0	0.0	0.0
452	NC_018979	Borrelia	burgdorferi		static		30795.0	42.0	0.0	0.0
453	NC_018980	Borrelia	burgdorferi		static		21165.0	25.0	0.0	0.0
454	NC_018989	Borrelia	burgdorferi		static		20974.0	13.0	0.0	0.0
455	NC_018990	Borrelia	burgdorferi		static		25211.0	17.0	0.0	0.0
456	NC_018991	Borrelia	burgdorferi		static		27035.0	26.0	0.0	0.0
457	NC_018992	Borrelia	burgdorferi		static		12965.0	10.0	0.0	0.0
458	NC_018993	Borrelia	burgdorferi		mosaic		25788.0	19.0	0.0	0.0
459	NC_018994	Escherichia	coli		mosaic		195560.0	224.0	6.0	0.026785714285714284
460	NC_018995	Escherichia	coli		mosaic		91942.0	131.0	3.0	0.022900763358778626
462	NC_019000	Escherichia	coli		mosaic		73564.0	140.0	0.0	0.0
463	NC_013331	Staphylococcus	aureus		mosaic		28974.0	36.0	3.0	0.08333333333333333
464	NC_019003	Borrelia	burgdorferi		static		30902.0	42.0	0.0	0.0
465	NC_019004	Borrelia	burgdorferi		static		30286.0	42.0	0.0	0.0
466	NC_019006	Borrelia	burgdorferi		static		30262.0	42.0	0.0	0.0
470	NC_013371	Staphylococcus	sp.		static		9968.0	12.0	0.0	0.0
471	NC_013318	Staphylococcus	aureus		mosaic		27267.0	35.0	2.0	0.05714285714285714
472	NC_013324	Staphylococcus	aureus		mosaic		29646.0	35.0	3.0	0.08571428571428572
473	NC_013327	Staphylococcus	aureus		mosaic		38087.0	47.0	0.0	0.0
474	NC_013335	Staphylococcus	aureus		mosaic		22987.0	30.0	0.0	0.0
475	NC_013337	Staphylococcus	aureus		mosaic		30857.0	41.0	2.0	0.04878048780487805
478	NC_019018	Mycobacterium	marinum		static		104530.0	85.0	0.0	0.0
479	NC_013325	Staphylococcus	aureus		mosaic		38204.0	49.0	0.0	0.0
480	NC_013377	Staphylococcus	epidermidis		mosaic		26236.0	36.0	1.0	0.027777777777777776
481	NC_013378	Staphylococcus	epidermidis		static		16775.0	18.0	0.0	0.0
482	NC_013380	Staphylococcus	epidermidis		static		8435.0	12.0	0.0	0.0
483	NC_013381	Staphylococcus	epidermidis		static		42623.0	39.0	0.0	0.0
484	NC_013382	Staphylococcus	epidermidis		mosaic		10445.0	16.0	0.0	0.0
485	NC_013389	Staphylococcus	epidermidis		static		24518.0	26.0	0.0	0.0
486	NC_013294	Staphylococcus	aureus		mosaic		27068.0	36.0	3.0	0.08333333333333333
488	NC_013296	Staphylococcus	aureus		mosaic		25022.0	34.0	3.0	0.08823529411764706
489	NC_013298	Staphylococcus	aureus		mosaic		27067.0	37.0	3.0	0.08108108108108109
490	NC_013332	Staphylococcus	aureus		mosaic		32445.0	43.0	3.0	0.06976744186046512
491	NC_013333	Staphylococcus	aureus		static		20453.0	25.0	0.0	0.0
492	NC_013334	Staphylococcus	aureus		static		39308.0	48.0	0.0	0.0
494	NC_013330	Staphylococcus	aureus		static		28384.0	28.0	2.0	0.07142857142857142
495	NC_019007	Staphylococcus	aureus		mosaic		27268.0	34.0	3.0	0.08823529411764706
498	NC_019010	Staphylococcus	aureus		mosaic		27439.0	32.0	2.0	0.0625
500	NC_013321	Staphylococcus	aureus		mosaic		32650.0	40.0	2.0	0.05
501	NC_013290	Staphylococcus	aureus		static		20653.0	25.0	3.0	0.12
503	NC_013328	Staphylococcus	aureus		mosaic		30047.0	31.0	3.0	0.0967741935483871
505	NC_018978	Erwinia	amylovora		static		28138.0	30.0	0.0	0.0
506	NC_018981	Borrelia	burgdorferi		static		30636.0	42.0	0.0	0.0
507	NC_018988	Borrelia	burgdorferi		static		20978.0	10.0	0.0	0.0
508	NC_013379	Staphylococcus	epidermidis		static		38556.0	41.0	3.0	0.07317073170731707
509	NC_013393	Staphylococcus	epidermidis		mosaic		23263.0	26.0	1.0	0.038461538461538464
510	NC_013383	Staphylococcus	epidermidis		mosaic		24711.0	25.0	2.0	0.08
511	NC_013313	Staphylococcus	aureus		static		20730.0	25.0	3.0	0.12
512	NC_018997	Escherichia	coli		static		7930.0	15.0	0.0	0.0
513	NC_019005	Borrelia	burgdorferi		static		30641.0	42.0	0.0	0.0
515	NC_018965	Staphylococcus	aureus		mosaic		35510.0	43.0	0.0	0.0
516	NC_013341	Staphylococcus	aureus		static		13342.0	15.0	0.0	0.0
523	NC_013292	Staphylococcus	aureus		mosaic		24654.0	30.0	2.0	0.06666666666666667
524	NC_013293	Staphylococcus	aureus		static		20730.0	25.0	3.0	0.12
525	NC_013299	Staphylococcus	aureus		mosaic		23059.0	30.0	2.0	0.06666666666666667
526	NC_013301	Staphylococcus	aureus		mosaic		20672.0	27.0	3.0	0.1111111111111111
527	NC_019008	Staphylococcus	aureus		static		27268.0	33.0	3.0	0.09090909090909091
528	NC_013340	Staphylococcus	aureus		mosaic		35114.0	42.0	0.0	0.0
529	NC_019009	Staphylococcus	aureus		mosaic		35508.0	43.0	0.0	0.0
530	NC_013342	Staphylococcus	aureus		mosaic		47322.0	53.0	2.0	0.03773584905660377
531	NC_013344	Staphylococcus	aureus		mosaic		44116.0	49.0	2.0	0.04081632653061224
532	NC_018982	Borrelia	burgdorferi		static		21172.0	24.0	0.0	0.0
533	NC_018983	Borrelia	burgdorferi		static		26514.0	26.0	0.0	0.0
534	NC_018984	Borrelia	burgdorferi		static		30301.0	41.0	0.0	0.0
535	NC_018986	Borrelia	burgdorferi		static		22715.0	18.0	0.0	0.0
536	NC_018987	Borrelia	burgdorferi		static		22135.0	24.0	0.0	0.0
537	NC_018998	Escherichia	coli		mosaic		91019.0	112.0	1.0	0.008928571428571428
541	NC_019033	Escherichia	coli		mosaic		42379.0	47.0	1.0	0.02127659574468085
545	NC_011917	Escherichia	coli		static		108379.0	122.0	0.0	0.0
546	NC_019037	Escherichia	coli		mosaic		82676.0	105.0	1.0	0.009523809523809525
547	NC_019039	Escherichia	coli		mosaic		56676.0	86.0	0.0	0.0
548	NC_019044	Escherichia	coli		mosaic		92290.0	93.0	0.0	0.0
549	NC_019043	Escherichia	coli		mosaic		107138.0	115.0	3.0	0.02608695652173913
554	NC_019061	Escherichia	coli		mosaic		103297.0	104.0	3.0	0.028846153846153848
557	NC_019081	Escherichia	coli		mosaic		7995.0	10.0	6.0	0.6
558	NC_019082	Escherichia	coli		mosaic		51556.0	45.0	5.0	0.1111111111111111
559	NC_019083	Escherichia	coli		static		34945.0	45.0	0.0	0.0
562	NC_019087	Escherichia	coli		mosaic		44216.0	49.0	1.0	0.02040816326530612
563	NC_019088	Escherichia	coli		mosaic		47506.0	42.0	1.0	0.023809523809523808
564	NC_011514	Escherichia	coli		mosaic		10669.0	11.0	1.0	0.09090909090909091
565	NC_019092	Escherichia	coli		static		8848.0	14.0	0.0	0.0
566	NC_019013	Escherichia	coli		mosaic		50572.0	60.0	0.0	0.0
567	NC_019062	Escherichia	coli		mosaic		30016.0	30.0	2.0	0.06666666666666667
568	NC_019065	Escherichia	coli		mosaic		135803.0	148.0	5.0	0.033783783783783786
569	NC_019066	Escherichia	coli		mosaic		161081.0	172.0	6.0	0.03488372093023256
570	NC_019067	Escherichia	coli		mosaic		38611.0	50.0	1.0	0.02
572	NC_019069	Escherichia	coli		mosaic		166744.0	187.0	6.0	0.03208556149732621
573	NC_019071	Escherichia	coli		mosaic		70382.0	98.0	1.0	0.01020408163265306
574	NC_019072	Escherichia	coli		mosaic		69812.0	98.0	1.0	0.01020408163265306
575	NC_019073	Escherichia	coli		mosaic		76878.0	100.0	3.0	0.03
582	NC_019093	Escherichia	coli		mosaic		59260.0	64.0	0.0	0.0
583	NC_019094	Escherichia	coli		static		79478.0	125.0	0.0	0.0
584	NC_019095	Escherichia	coli		mosaic		76635.0	84.0	3.0	0.03571428571428571
585	NC_019096	Escherichia	coli		mosaic		38611.0	40.0	1.0	0.025
586	NC_019097	Escherichia	coli		mosaic		98809.0	130.0	0.0	0.0
587	NC_019056	Escherichia	coli		mosaic		9902.0	11.0	2.0	0.18181818181818182
588	NC_019057	Escherichia	coli		mosaic		70262.0	97.0	1.0	0.010309278350515464
