locus	character
NC_019369	mosaic
NC_019218	mosaic
NC_019262	mosaic
NC_019361	mosaic
NC_019338	mosaic
NC_019380	mosaic
NC_019381	mosaic
NC_019174	mosaic
NC_017767	mosaic
NC_019211	mosaic
NC_019227	mosaic
NC_019344	mosaic
NC_004444	mosaic
NC_019182	mosaic
NC_019360	mosaic
NC_019384	mosaic
NC_011838	mosaic
NC_019389	mosaic
NC_019390	mosaic
NC_019553	mosaic
NC_019687	mosaic
NC_019888	mosaic
NC_019889	mosaic
NC_019899	mosaic
NC_019981	mosaic
NC_019990	mosaic
NC_019988	mosaic
NC_020088	mosaic
NC_013951	mosaic
NC_015956	mosaic
NC_002098	mosaic
NC_014384	mosaic
NC_002650	mosaic
NC_006134	mosaic
NC_006135	mosaic
NC_007141	mosaic
NC_004950	mosaic
NC_002109	mosaic
NC_016968	mosaic
NC_016978	mosaic
NC_009966	mosaic
NC_013056	mosaic
NC_010643	mosaic
NC_008439	mosaic
NC_003124	mosaic
NC_004338	mosaic
NC_004339	mosaic
NC_004340	mosaic
NC_009352	mosaic
NC_016611	mosaic
NC_006143	mosaic
NC_009701	mosaic
NC_009702	mosaic
NC_010912	mosaic
NC_002131	mosaic
NC_013944	mosaic
NC_013945	mosaic
NC_010626	mosaic
NC_001797	mosaic
NC_002136	mosaic
NC_015971	mosaic
NC_010540	mosaic
NC_014104	mosaic
NC_001496	mosaic
NC_002146	mosaic
NC_010924	mosaic
NC_010934	mosaic
NC_015148	mosaic
NC_012551	mosaic
NC_003528	mosaic
NC_004532	mosaic
NC_010603	mosaic
NC_005206	mosaic
NC_003227	mosaic
NC_010600	mosaic
NC_016983	mosaic
NC_010933	mosaic
NC_002611	mosaic
NC_005016	mosaic
NC_005909	mosaic
NC_004939	mosaic
NC_007167	mosaic
NC_004956	mosaic
NC_007800	mosaic
NC_004951	mosaic
NC_010523	mosaic
NC_015255	mosaic
NC_015257	mosaic
NC_002117	mosaic
NC_012890	mosaic
NC_003411	mosaic
NC_006830	mosaic
NC_009476	mosaic
NC_006466	mosaic
NC_006525	mosaic
NC_008308	mosaic
NC_014557	mosaic
NC_007098	mosaic
NC_008051	mosaic
NC_007768	mosaic
NC_008351	mosaic
NC_010370	mosaic
NC_001395	mosaic
NC_001391	mosaic
NC_001380	mosaic
NC_001376	mosaic
NC_020228	mosaic
NC_020237	mosaic
NC_020251	mosaic
NC_020270	mosaic
NC_020271	mosaic
NC_020280	mosaic
NC_020281	mosaic
NC_020282	mosaic
NC_020295	mosaic
NC_002134	mosaic
NC_002122	mosaic
NC_004837	mosaic
NC_004839	mosaic
NC_011980	mosaic
NC_002483	mosaic
NC_004835	mosaic
NC_004836	mosaic
NC_020412	mosaic
NC_020413	mosaic
NC_020452	mosaic
NC_020552	mosaic
NC_020811	mosaic
NC_020818	mosaic
NC_012674	mosaic
NC_020893	mosaic
NC_020550	mosaic
NC_021076	mosaic
NC_021077	mosaic
NC_021078	mosaic
NC_021087	mosaic
NC_021079	mosaic
NC_021186	mosaic
NC_021198	mosaic
NC_021199	mosaic
NC_021238	mosaic
NC_021293	mosaic
NC_021488	mosaic
NC_021511	mosaic
NC_021576	mosaic
NC_021622	mosaic
NC_021570	mosaic
NC_022105	mosaic
NC_019282	mosaic
NC_022333	mosaic
NC_022345	mosaic
NC_022346	mosaic
NC_022375	mosaic
NC_022520	mosaic
NC_022618	mosaic
NC_022652	mosaic
NC_022885	mosaic
NC_022992	mosaic
NC_022996	mosaic
NC_023074	mosaic
NC_023283	mosaic
NC_023284	mosaic
NC_023287	mosaic
NC_023288	mosaic
NC_023317	mosaic
NC_023318	mosaic
NC_023319	mosaic
NC_023320	mosaic
NC_023315	mosaic
NC_023323	mosaic
NC_023326	mosaic
NC_023327	mosaic
NC_023331	mosaic
NC_023332	mosaic
NC_023333	mosaic
NC_023334	mosaic
NC_023910	mosaic
NC_023911	mosaic
NC_023903	mosaic
NC_023904	mosaic
NC_013034	mosaic
NC_011412	mosaic
NC_019045	mosaic
NC_019047	mosaic
NC_009133	mosaic
NC_019050	mosaic
NC_019051	mosaic
NC_019052	mosaic
NC_019089	mosaic
NC_019090	mosaic
NC_019091	mosaic
NC_019311	mosaic
NC_019312	mosaic
NC_001735	mosaic
NC_016036	mosaic
NC_003905	mosaic
NC_010375	mosaic
NC_005073	mosaic
NC_006871	mosaic
NC_005917	mosaic
NC_020279	mosaic
NC_001705	mosaic
NC_005970	mosaic
NC_023906	mosaic
NC_023908	mosaic
NC_023909	mosaic
NC_023914	mosaic
NC_023905	mosaic
NC_023901	mosaic
NC_024960	mosaic
NC_024961	mosaic
NC_024965	mosaic
NC_024966	mosaic
NC_024968	mosaic
NC_024969	mosaic
NC_024980	mosaic
NC_024981	mosaic
NC_024998	mosaic
NC_025000	mosaic
NC_025010	mosaic
NC_010072	mosaic
NC_025021	mosaic
NC_004854	mosaic
NC_005011	mosaic
NC_005244	mosaic
NC_001845	mosaic
NC_002502	mosaic
NC_011151	mosaic
NC_010029	mosaic
NC_004446	mosaic
NC_013784	mosaic
NC_013785	mosaic
NC_013787	mosaic
NC_013788	mosaic
NC_014231	mosaic
NC_003486	mosaic
NC_012813	mosaic
NC_015855	mosaic
NC_007202	mosaic
NC_009751	mosaic
NC_002698	mosaic
NC_017385	mosaic
NC_017386	mosaic
NC_014232	mosaic
NC_019255	mosaic
NC_019979	mosaic
NC_014255	mosaic
NC_001791	mosaic
NC_002099	mosaic
NC_013091	mosaic
NC_013092	mosaic
NC_016054	mosaic
NC_005793	mosaic
NC_004073	mosaic
NC_014466	mosaic
NC_014832	mosaic
NC_012919	mosaic
NC_001811	mosaic
NC_004952	mosaic
NC_013727	mosaic
NC_009703	mosaic
NC_010795	mosaic
NC_014015	mosaic
NC_015260	mosaic
NC_002498	mosaic
NC_002524	mosaic
NC_007094	mosaic
NC_007095	mosaic
NC_007096	mosaic
NC_009623	mosaic
NC_009624	mosaic
NC_008690	mosaic
NC_014565	mosaic
NC_002759	mosaic
NC_014167	mosaic
NC_009716	mosaic
NC_010164	mosaic
NC_009128	mosaic
NC_010848	mosaic
NC_007097	mosaic
NC_004945	mosaic
NC_005312	mosaic
NC_007099	mosaic
NC_009625	mosaic
NC_014725	mosaic
NC_001415	mosaic
NC_015973	mosaic
NC_001337	mosaic
NC_015515	mosaic
NC_005208	mosaic
NC_007165	mosaic
NC_007166	mosaic
NC_016971	mosaic
NC_004566	mosaic
NC_004774	mosaic
NC_010621	mosaic
NC_002497	mosaic
NC_008440	mosaic
NC_010042	mosaic
NC_009753	mosaic
NC_010889	mosaic
NC_010891	mosaic
NC_001390	mosaic
NC_001384	mosaic
NC_001377	mosaic
NC_001740	mosaic
NC_020885	mosaic
NC_020886	mosaic
NC_021652	mosaic
NC_021653	mosaic
NC_021665	mosaic
NC_022242	mosaic
NC_004335	mosaic
NC_023915	mosaic
NC_025008	mosaic
NC_025025	mosaic
NC_025029	mosaic
NC_025098	mosaic
NC_025099	mosaic
NC_025104	mosaic
NC_025110	mosaic
NC_024956	mosaic
NC_023912	mosaic
NC_025058	mosaic
NC_025096	mosaic
NC_024963	mosaic
NC_024974	mosaic
NC_007293	mosaic
NC_025019	mosaic
NC_025097	mosaic
NC_025015	mosaic
NC_006978	mosaic
NC_025018	mosaic
NC_024997	mosaic
NC_025116	mosaic
NC_025127	mosaic
NC_025130	mosaic
NC_025131	mosaic
NC_025133	mosaic
NC_025138	mosaic
NC_025139	mosaic
NC_025140	mosaic
NC_025141	mosaic
NC_025144	mosaic
NC_025145	mosaic
NC_025147	mosaic
NC_025157	mosaic
NC_025167	mosaic
NC_025168	mosaic
NC_025172	mosaic
NC_025181	mosaic
NC_025183	mosaic
NC_025191	mosaic
NC_025195	mosaic
NC_025174	mosaic
NC_025175	mosaic
NC_025179	mosaic
NC_025180	mosaic
NC_025184	mosaic
NC_025185	mosaic
NC_025186	mosaic
NC_025187	mosaic
NC_025198	mosaic
NC_025142	mosaic
NC_025143	mosaic
NC_025166	mosaic
NC_025122	mosaic
NC_025176	mosaic
NC_025177	mosaic
NC_016138	mosaic
NC_010935	mosaic
NC_014937	mosaic
NC_013937	mosaic
NC_013938	mosaic
NC_024975	mosaic
NC_024976	mosaic
NC_024977	mosaic
NC_024979	mosaic
NC_024978	mosaic
NZ_CP009562	mosaic
NZ_CP009560	mosaic
NZ_CP009564	mosaic
NZ_CP009563	mosaic
NC_024996	mosaic
NC_007110	mosaic
NC_007111	mosaic
NC_006672	mosaic
NC_010331	mosaic
NC_008500	mosaic
NC_011224	mosaic
NC_011256	mosaic
NC_008341	mosaic
NC_008342	mosaic
NC_011034	mosaic
NC_008765	mosaic
NC_008766	mosaic
NC_009329	mosaic
NC_008739	mosaic
NC_009466	mosaic
NC_014132	mosaic
NC_008757	mosaic
NC_008759	mosaic
NC_008760	mosaic
NC_008761	mosaic
NC_011585	mosaic
NC_008242	mosaic
NC_008244	mosaic
NC_009036	mosaic
NC_010683	mosaic
NC_009669	mosaic
NC_009671	mosaic
NC_011664	mosaic
NC_011665	mosaic
NC_007103	mosaic
NC_007104	mosaic
NC_007105	mosaic
NC_007106	mosaic
NC_007107	mosaic
NC_015217	mosaic
NC_009661	mosaic
NC_017373	mosaic
NC_009507	mosaic
NC_009508	mosaic
NC_008147	mosaic
NC_010996	mosaic
NC_008703	mosaic
NC_008704	mosaic
NC_010070	mosaic
NC_012473	mosaic
NC_014633	mosaic
NC_014634	mosaic
NC_015169	mosaic
NC_015163	mosaic
NC_017311	mosaic
NC_015420	mosaic
NC_015429	mosaic
NC_015421	mosaic
NC_014621	mosaic
NC_014626	mosaic
NC_009339	mosaic
NC_011371	mosaic
NC_011370	mosaic
NC_013193	mosaic
NC_013190	mosaic
NC_013191	mosaic
NC_017232	mosaic
NC_017233	mosaic
NC_005707	mosaic
NC_012849	mosaic
NC_011655	mosaic
NC_011657	mosaic
NC_015700	mosaic
NC_015698	mosaic
NC_007170	mosaic
NC_008010	mosaic
NC_009939	mosaic
NC_011994	mosaic
NC_012655	mosaic
NC_012656	mosaic
NC_015851	mosaic
NC_015854	mosaic
NC_015146	mosaic
NC_015147	mosaic
NC_014908	mosaic
NC_014911	mosaic
NC_012577	mosaic
NC_012579	mosaic
NC_014558	mosaic
NC_017032	mosaic
NC_015057	mosaic
NC_015065	mosaic
NC_018633	mosaic
NC_017577	mosaic
NC_017580	mosaic
NC_017578	mosaic
NC_017588	mosaic
NC_017590	mosaic
NC_014811	mosaic
NC_008573	mosaic
NC_017092	mosaic
NC_014331	mosaic
NC_014332	mosaic
NC_007336	mosaic
NC_007337	mosaic
NC_015178	mosaic
NC_015187	mosaic
NC_015179	mosaic
NC_015188	mosaic
NC_015181	mosaic
NC_010402	mosaic
NC_010404	mosaic
NC_018222	mosaic
NC_007974	mosaic
NC_007971	mosaic
NC_007972	mosaic
NC_006153	mosaic
NC_006154	mosaic
NC_017201	mosaic
NC_017199	mosaic
NC_017202	mosaic
NC_017203	mosaic
NC_017204	mosaic
NC_017210	mosaic
NC_017205	mosaic
NC_017211	mosaic
NC_017206	mosaic
NC_017207	mosaic
NC_017212	mosaic
NC_020208	mosaic
NC_017726	mosaic
NC_017727	mosaic
NC_018879	mosaic
NC_018880	mosaic
NC_018881	mosaic
NC_018882	mosaic
NC_018883	mosaic
NC_018884	mosaic
NC_018885	mosaic
NC_018886	mosaic
NC_020817	mosaic
NC_018509	mosaic
NC_018510	mosaic
NC_018517	mosaic
NC_018511	mosaic
NC_018512	mosaic
NC_022243	mosaic
NC_020249	mosaic
NC_020239	mosaic
NC_020240	mosaic
NC_020250	mosaic
NC_020241	mosaic
NC_020242	mosaic
NC_020243	mosaic
NC_021517	mosaic
NC_021518	mosaic
NC_021527	mosaic
NC_018486	mosaic
NC_018501	mosaic
NC_018487	mosaic
NC_018488	mosaic
NC_018489	mosaic
NC_020390	mosaic
NC_020377	mosaic
NC_020378	mosaic
NC_020379	mosaic
NC_020380	mosaic
NC_020381	mosaic
NC_020392	mosaic
NC_020382	mosaic
NC_020383	mosaic
NC_020393	mosaic
NC_020394	mosaic
NC_020384	mosaic
NC_020385	mosaic
NZ_CP008814	mosaic
NZ_CP008815	mosaic
NZ_CP006743	mosaic
NZ_CP006744	mosaic
NZ_CP004859	mosaic
NZ_CP004860	mosaic
NZ_CP004861	mosaic
NZ_CP004862	mosaic
NZ_CP004863	mosaic
NZ_CP004864	mosaic
NZ_CP004865	mosaic
NZ_CP004866	mosaic
NZ_CP004867	mosaic
NZ_CP004868	mosaic
NZ_CP004869	mosaic
NZ_CP007664	mosaic
NZ_CP007665	mosaic
NZ_CP005961	mosaic
NZ_CP007702	mosaic
NZ_CP007703	mosaic
NZ_CP007609	mosaic
NZ_CP007610	mosaic
NZ_CP007611	mosaic
NZ_CP007612	mosaic
NZ_CP007613	mosaic
NZ_CP007614	mosaic
NZ_CP007615	mosaic
NZ_CP007616	mosaic
NZ_CP004871	mosaic
NZ_CP004872	mosaic
NZ_CP004873	mosaic
NZ_CP004874	mosaic
NZ_CP004875	mosaic
NZ_CP004876	mosaic
NZ_CP004877	mosaic
NZ_CP004878	mosaic
NZ_CP004879	mosaic
NZ_CP004880	mosaic
NZ_CP004883	mosaic
NZ_CP008847	mosaic
NZ_CP008848	mosaic
NC_010367	mosaic
NC_018611	mosaic
NC_019967	mosaic
NC_014300	mosaic
NC_014301	mosaic
NZ_CP007061	mosaic
NC_006393	mosaic
NC_006395	mosaic
NC_012030	mosaic
NC_014731	mosaic
NC_014732	mosaic
NC_010366	mosaic
NC_010368	mosaic
NC_010369	mosaic
NC_015955	mosaic
NC_015959	mosaic
NC_014298	mosaic
NC_014299	mosaic
NC_019963	mosaic
NZ_CP007552	mosaic
NZ_CP007554	mosaic
NZ_CP009229	mosaic
NZ_CP010369	mosaic
NZ_CP010370	mosaic
NC_017942	mosaic
NC_017944	mosaic
NC_017435	mosaic
NC_017433	mosaic
NC_008503	mosaic
NC_008504	mosaic
NC_008507	mosaic
NC_009467	mosaic
NC_009468	mosaic
NC_009469	mosaic
NC_009470	mosaic
NC_009471	mosaic
NC_013200	mosaic
NC_003921	mosaic
NC_003922	mosaic
NC_008790	mosaic
NC_009955	mosaic
NC_009956	mosaic
NC_009957	mosaic
NC_009958	mosaic
NC_010605	mosaic
NC_010606	mosaic
NC_007274	mosaic
NC_007275	mosaic
NC_012811	mosaic
NC_012807	mosaic
NC_012809	mosaic
NC_012810	mosaic
NC_017282	mosaic
NC_017476	mosaic
NC_017438	mosaic
NC_017475	mosaic
NC_014824	mosaic
NC_014825	mosaic
NC_017163	mosaic
NC_017164	mosaic
NC_017222	mosaic
NC_017496	mosaic
NC_004923	mosaic
NC_004925	mosaic
NC_009349	mosaic
NC_009350	mosaic
NC_017327	mosaic
NC_017326	mosaic
NC_017324	mosaic
NC_017323	mosaic
NC_015597	mosaic
NZ_CP010568	mosaic
NZ_CP010570	mosaic
NZ_CP010572	mosaic
NZ_CP007132	mosaic
NZ_CP012188	mosaic
NZ_CP012189	mosaic
NZ_CP012190	mosaic
NZ_CP012191	mosaic
NC_017035	mosaic
NC_016607	mosaic
NC_017017	mosaic
NC_006365	mosaic
NC_017791	mosaic
NC_017806	mosaic
NC_010555	mosaic
NC_012987	mosaic
NC_012989	mosaic
NC_018638	mosaic
NC_018640	mosaic
NC_018639	mosaic
NC_019388	mosaic
NC_019430	mosaic
NC_019436	mosaic
NC_019433	mosaic
NC_019434	mosaic
NC_019394	mosaic
NC_020053	mosaic
NC_019698	mosaic
NC_020060	mosaic
NC_020061	mosaic
NC_020062	mosaic
NC_017958	mosaic
NC_017959	mosaic
NC_021049	mosaic
NC_021051	mosaic
NC_020527	mosaic
NC_020560	mosaic
NC_020542	mosaic
NC_020562	mosaic
NC_020543	mosaic
NC_020544	mosaic
NC_020563	mosaic
NC_021722	mosaic
NC_021730	mosaic
NC_021731	mosaic
NC_021732	mosaic
NC_021734	mosaic
NC_022225	mosaic
NC_022271	mosaic
NC_022042	mosaic
NC_022049	mosaic
NC_022043	mosaic
NC_022050	mosaic
NC_021727	mosaic
NC_021728	mosaic
NC_022123	mosaic
NC_022355	mosaic
NC_022739	mosaic
NZ_CP007047	mosaic
NZ_CP007048	mosaic
NZ_CP003710	mosaic
NZ_CP003711	mosaic
NZ_CP003712	mosaic
NZ_CP003713	mosaic
NZ_CP005703	mosaic
NZ_CP006964	mosaic
NZ_CP007180	mosaic
NZ_CP007227	mosaic
NZ_CP007228	mosaic
NZ_CP009352	mosaic
NC_010510	mosaic
NC_010517	mosaic
NC_010518	mosaic
NC_010502	mosaic
NZ_CP006582	mosaic
NZ_CP006583	mosaic
NZ_CP008817	mosaic
NZ_CP008818	mosaic
NZ_CP009145	mosaic
NZ_CP009146	mosaic
NZ_CP007621	mosaic
NZ_CP007622	mosaic
NZ_CP007623	mosaic
NZ_CP007624	mosaic
NZ_CP007625	mosaic
NC_022354	mosaic
NZ_CP007636	mosaic
NZ_CP007556	mosaic
NZ_CP009293	mosaic
NZ_CP009294	mosaic
NZ_CP009295	mosaic
NZ_CP009296	mosaic
NZ_LK021128	mosaic
NZ_CP009939	mosaic
NZ_CP009940	mosaic
NZ_CP010090	mosaic
NZ_CP010091	mosaic
NZ_CP010092	mosaic
NZ_CP010093	mosaic
NZ_CP010094	mosaic
NZ_CP010095	mosaic
NZ_CP010399	mosaic
NZ_CP009975	mosaic
NZ_CP010343	mosaic
NZ_CP006855	mosaic
NZ_CP006856	mosaic
NZ_CP010417	mosaic
NZ_CP010419	mosaic
NZ_CP010420	mosaic
NZ_CP010421	mosaic
NZ_CP007643	mosaic
NC_003296	mosaic
NC_009136	mosaic
NC_008499	mosaic
NC_007323	mosaic
NC_007322	mosaic
NC_010940	mosaic
NC_010941	mosaic
NC_010942	mosaic
NC_013356	mosaic
NC_013358	mosaic
NC_009429	mosaic
NC_009430	mosaic
NC_009431	mosaic
NC_009433	mosaic
NC_009999	mosaic
NC_017288	mosaic
NC_011526	mosaic
NC_013742	mosaic
NC_009777	mosaic
NC_010680	mosaic
NC_008712	mosaic
NC_008713	mosaic
NC_008598	mosaic
NC_009506	mosaic
NC_017484	mosaic
NC_010727	mosaic
NC_010721	mosaic
NC_016905	mosaic
NC_007349	mosaic
NC_015219	mosaic
NC_012495	mosaic
NC_012514	mosaic
NT_187139	mosaic
NT_187140	mosaic
NT_187141	mosaic
NT_187142	mosaic
NT_187144	mosaic
NC_015417	mosaic
NC_015426	mosaic
NC_015418	mosaic
NC_017575	mosaic
NC_012153	mosaic
NC_011862	mosaic
NC_011866	mosaic
NC_011223	mosaic
NC_017172	mosaic
