locus	CDS
NC_002806	64
NC_002760	4
NC_005307	105
NC_003789	2
NC_011030	3
NC_010902	1
NC_008308	263
NC_004936	5
NC_004834	22
NC_005920	6
NC_014617	1
NC_006912	44
NC_010675	7
NC_008053	3
NC_007927	26
NC_010874	7
NC_013090	5
NC_013417	6
NC_014557	7
NC_002124	1
NC_007098	5
NC_008049	1
NC_008051	3
NC_002112	0
NC_004526	3
NC_010406	5
NC_007768	2
NC_007771	2
NC_010614	85
NC_004574	133
NC_007143	3
NC_013546	4
NC_003490	16
NC_004953	8
NC_010365	7
NC_010598	41
NC_013538	5
NC_001316	0
NC_015149	104
NC_006907	32
NC_002141	0
NC_007962	4
NC_001843	1
NC_008351	2
NC_010370	12
NC_003892	6
NC_010492	63
NC_004987	2
NC_010608	42
NC_011299	39
NC_014110	17
NC_014116	32
NC_001387	10
NC_001383	0
NC_001378	1
NC_001395	2
NC_001391	4
NC_001380	4
NC_002748	5
NC_001376	2
NC_020228	5
NC_020237	9
NC_020251	9
NC_020270	96
NC_020271	135
NC_020280	7
NC_020281	3
NC_020282	4
NC_020295	6
NC_002134	117
NC_002122	108
NC_001373	8
NC_005702	3
NC_004837	5
NC_004839	76
NC_011980	164
NC_002483	105
NC_004835	78
NC_004836	64
NC_020412	6
NC_020413	5
NC_020420	9
NC_020421	3
NC_020422	3
NC_020451	30
NC_020452	23
NC_020552	52
NC_020554	3
NC_020811	52
NC_020818	43
NC_004957	3
NC_001381	5
NC_004992	3
NC_012674	93
NC_020884	19
NC_020893	95
NC_020550	8
NC_021076	39
NC_021077	122
NC_021078	78
NC_021087	14
NC_021079	50
NC_021080	184
NC_021159	2
NC_021186	6
NC_021187	19
NC_021188	15
NC_021198	215
NC_021199	133
NC_021209	102
NC_021238	49
NC_021239	6
NC_021240	10
NC_021241	15
NC_021292	5
NC_021293	6
NC_021488	73
NC_021493	5
NC_021511	1
NC_021513	7
NC_021523	1
NC_021524	1
NC_021572	14
NC_021573	10
NC_021574	5
NC_021575	18
NC_021576	43
NC_021622	64
NC_021623	164
NC_021570	1
NC_021724	40
NC_021737	2
NC_021808	16
NC_021914	34
NC_022074	1
NC_022077	3
NC_022105	50
NC_022197	1
NC_019282	4
NC_022333	222
NC_022345	8
NC_022346	26
NC_022367	2
NC_022368	49
NC_022375	86
NC_022437	51
NC_022520	105
NC_022585	5
NC_022618	21
NC_022652	175
NC_014309	1790
NC_014308	22
NC_022885	171
NC_022963	42
NC_022992	134
NC_022993	2
NC_022994	2
NC_022996	150
NC_023058	1
NC_023059	2
NC_023067	41
NC_023068	30
NC_023070	2
NC_023074	93
NC_023152	1
NC_023278	22
NC_023282	102
NC_023283	456
NC_023284	430
NC_023285	424
NC_023286	409
NC_023287	65
NC_023288	22
NC_023313	3
NC_023316	127
NC_023317	4
NC_023318	5
NC_023319	4
NC_023320	4
NC_023321	4
NC_023315	118
NC_023323	73
NC_023324	8
NC_023326	126
NC_023327	233
NC_023328	10
NC_023325	9
NC_023331	36
NC_023332	204
NC_023333	215
NC_023334	191
NC_023910	81
NC_023911	372
NC_023913	10
NC_023903	107
NC_023904	107
NC_023918	55
NC_013034	9
NC_013952	4
NC_011412	63
NC_019038	3
NC_019045	186
NC_019046	36
NC_019047	40
NC_009133	123
NC_019049	4
NC_019050	1
NC_019051	4
NC_019052	4
NC_019089	88
NC_019090	103
NC_019091	30
NC_019308	25
NC_019309	73
NC_017833	47
NC_019319	5
NC_019321	2
NC_019311	6
NC_019312	64
NC_019314	7
NC_019315	5
NC_019317	3
NC_010868	1
NC_010869	1
NC_010906	1
NC_010922	4
NC_010923	8
NC_010926	3
NC_010928	2
NC_010931	3
NC_004758	7
NC_001735	66
NC_014227	4
NC_005911	7
NC_016036	80
NC_002632	10
NC_003905	300
NC_010375	3
NC_005073	212
NC_014913	4
NC_005907	6
NC_015156	166
NC_004853	11
NC_006422	41
NC_006423	40
NC_006424	1
NC_004985	3
NC_010464	4
NC_008442	24
NC_002113	1
NC_002114	1
NC_006871	5
NC_002523	141
NC_001771	6
NC_005917	15
NC_006425	54
NC_010887	1
NC_016000	22
NC_011746	2
NC_010854	4
NC_010856	4
NC_010918	4
NC_010899	4
NC_008353	2
NC_007769	2
NC_020279	3
NC_001705	3
NC_005970	6
NC_023906	106
NC_023908	126
NC_023909	89
NC_023914	51
NC_023917	55
NC_023905	106
NC_023901	1
NC_024960	76
NC_024961	56
NC_024962	7
NC_024965	14
NC_024966	3
NC_024968	3
NC_024969	3
NC_024970	234
NC_024971	22
NC_024972	125
NC_024980	110
NC_024981	4
NC_024982	4
NC_024984	15
NC_024985	2
NC_024998	64
NC_025000	55
NC_025010	2
NC_025012	6
NC_011396	1
NC_025013	11
NC_010072	2
NC_025021	2
NC_004854	64
NC_002576	64
NC_002137	45
NC_007191	8
NC_002193	1
NC_005011	27
NC_004847	6
NC_005706	21
NC_001910	7
NC_005244	102
NC_001845	1
NC_004922	4
NC_002502	8
NC_004955	8
NC_004457	43
NC_005701	1
NC_010332	44
NC_004059	4
NC_004164	6
NC_004966	17
NC_010865	166
NC_010982	27
NC_002091	3
NC_011150	68
NC_011151	65
NC_010029	8
NC_004446	4
NC_009351	10
NC_013784	51
NC_013785	30
NC_013786	21
NC_013787	28
NC_013788	26
NC_014231	55
NC_015509	4
NC_003486	8
NC_009666	3
NC_011977	7
NC_012813	8
NC_012629	8
NC_004991	2
NC_015712	71
NC_015855	125
NC_007202	1
NC_009751	29
NC_006821	3
NC_001994	2
NC_002698	293
NC_017385	215
NC_017386	243
NC_004930	6
NC_014232	109
NC_014247	69
NC_019255	5
NC_019979	5
NC_006145	1
NC_001379	1
NC_002102	13
NC_012722	1
NC_011839	42
NC_001757	1
NC_014553	4
NC_004942	13
NC_010936	5
NC_011652	2
NC_011798	1
NC_014255	37
NC_001787	3
NC_010908	1
NC_010877	6
NC_002522	3
NC_001456	2
NC_001791	6
NC_002099	5
NC_002115	0
NC_010243	1
NC_013726	20
NC_002580	2
NC_010065	1
NC_006258	6
NC_002699	20
NC_001738	6
NC_003319	6
NC_010097	0
NC_004933	42
NC_004808	142
NC_004934	111
NC_002569	2
NC_007387	12
NC_007388	10
NC_007389	14
NC_007390	17
NC_007391	24
NC_007392	25
NC_005563	5
NC_002097	4
NC_002121	1
NC_003158	0
NC_010088	0
NC_004531	7
NC_005562	10
NC_003527	2
NC_003320	25
NC_004963	18
NC_013091	3
NC_013092	6
NC_010733	10
NC_011336	4
NC_011414	14
NC_005915	57
NC_016054	5
NC_001755	2
NC_005793	60
NC_004073	58
NC_004990	8
NC_014466	5
NC_010852	27
NC_004528	10
NC_006822	1
NC_012562	3
NC_013513	7
NC_014832	19
NC_004822	4
NC_003353	2
NC_005914	2
NC_002775	9
NC_003442	15
NC_012919	61
NC_013775	8
NC_014912	6
NC_001811	18
NC_008438	4
NC_004952	6
NC_010871	1
NC_005910	7
NC_013727	88
NC_009703	67
NC_002101	6
NC_016969	6
NC_001764	7
NC_010795	16
NC_006857	1
NC_013776	1
NC_004527	3
NC_013548	1
NC_002060	1
NC_012760	9
NC_005326	5
NC_004979	3
NC_014015	4
NC_005952	12
NC_012548	2
NC_015260	26
NC_015261	18
NC_010309	11
NC_001898	7
NC_002070	6
NC_010876	34
NC_010734	10
NC_007182	66
NC_007185	27
NC_007187	6
NC_004961	0
NC_002498	2
NC_002149	4
NC_016615	6
NC_004445	32
NC_002675	2
NC_002524	11
NC_004954	51
NC_003026	2
NC_014123	7
NC_004929	52
NC_007094	12
NC_007095	10
NC_007096	12
NC_009623	10
NC_009624	14
NC_010882	13
NC_009658	2
NC_008690	2
NC_004931	13
NC_014565	22
NC_002759	26
NC_005918	50
NC_005919	29
NC_005921	10
NC_005922	6
NC_013448	3
NC_014167	20
NC_006426	4
NC_004964	6
NC_006996	1
NC_006906	13
NC_009716	6
NC_006911	37
NC_010164	3
NC_010849	33
NC_009130	56
NC_009128	43
NC_009129	27
NC_013539	3
NC_013540	8
NC_010863	6
NC_010873	2
NC_015473	6
NC_010848	4
NC_010494	97
NC_010878	34
NC_012035	8
NC_016644	83
NC_010607	5
NC_007386	8
NC_007097	6
NC_006869	7
NC_002125	4
NC_010927	17
NC_010903	1
NC_013779	17
NC_014115	12
NC_005239	2
NC_004962	1
NC_004533	6
NC_004535	15
NC_004941	1
NC_004945	31
NC_003125	2
NC_005312	10
NC_007099	6
NC_009625	7
NC_010069	9
NC_014725	84
NC_007142	3
NC_008050	3
NC_004767	2
NC_001415	19
NC_014386	8
NC_015973	3
NC_010405	6
NC_008352	2
NC_008354	3
NC_007431	11
NC_008247	1
NC_007706	2
NC_000905	6
NC_001336	13
NC_001337	11
NC_004900	4
NC_010850	103
NC_016583	5
NC_013536	1
NC_013963	4
NC_015515	7
NC_005207	32
NC_005208	3
NC_007165	2
NC_007166	2
NC_016971	13
NC_016981	6
NC_016982	56
NC_004932	6
NC_013534	7
NC_010728	5
NC_014936	2
NC_004566	18
NC_004947	4
NC_006374	2
NC_004773	11
NC_004774	21
NC_010597	46
NC_002033	186
NC_010905	16
NC_001315	1
NC_017466	3
NC_016851	99
NC_014161	2
NC_010917	2
NC_010910	3
NC_010888	1
NC_010621	14
NC_008792	11
NC_002497	5
NC_001760	2
NC_008440	6
NC_001597	3
NC_010310	16
NC_008691	5
NC_010042	5
NC_010096	4
NC_016975	9
NC_001759	9
NC_002100	0
NC_012733	1
NC_010312	6
NC_011767	9
NC_004986	1
NC_008823	8
NC_006910	13
NC_007353	49
NC_009753	24
NC_005969	27
NC_013636	4
NC_004534	6
NC_008246	1
NC_010889	10
NC_013970	3
NC_011131	7
NC_001476	5
NC_001756	2
NC_002110	2
NC_006860	3
NC_010897	5
NC_006628	4
NC_016040	61
NC_010891	50
NC_010890	9
NC_010983	3
NC_013177	30
NC_013449	110
NC_013420	112
NC_013667	15
NC_015708	45
NC_013500	4
NC_007183	66
NC_001390	2
NC_004980	1
NC_001384	4
NC_001377	10
NC_001375	4
NC_001740	11
NC_001388	10
NC_001393	4
NC_020227	21
NC_020885	4
NC_020886	4
NC_021652	5
NC_021653	5
NC_021665	4
NC_021875	6
NC_021876	6
NC_022076	5
NC_022242	33
NC_022527	34
NC_023026	57
NC_004335	5
NC_023915	109
NC_025008	6
NC_025011	1
NC_025022	7
NC_025023	6
NC_025024	2
NC_025025	4
NC_025028	74
NC_025029	63
NC_025030	6
NC_025031	7
NC_025032	10
NC_025043	4
NC_025044	4
NC_025086	5
NC_025098	8
NC_025099	3
NC_025104	68
