	locus	Genus	Species	environment	character	IS26	length	CDS	gene counts	Gene_proportion
61	NC_004998	Escherichia	coli		mosaic		125491.0	141.0	23.0	0.16312056737588654
62	NC_007675	Escherichia	coli		mosaic		184501.0	209.0	39.0	0.18660287081339713
63	NC_009602	Escherichia	coli		mosaic		121239.0	96.0	5.0	0.052083333333333336
64	NC_010076	Bacillus	thuringiensis		mosaic		127923.0	113.0	20.0	0.17699115044247787
66	NC_007772	Clostridium	perfringens		static		70480.0	60.0	3.0	0.05
70	NC_007931	Staphylococcus	aureus		static		22787.0	21.0	3.0	0.14285714285714285
72	NC_002144	Yersinia	pestis		static		5919.0	12.0	0.0	0.0
79	NC_005567	Bacillus	thuringiensis		mosaic		11365.0	11.0	0.0	0.0
80	NC_001277	Pediococcus	pentosaceus		static		19515.0	24.0	0.0	0.0
81	NC_007100	Pseudomonas	aeruginosa		mosaic		57121.0	51.0	8.0	0.1568627450980392
88	NC_004988	Borrelia	burgdorferi		static		16933.0	14.0	0.0	0.0
92	NC_005000	Enterococcus	faecium		mosaic		24873.0	32.0	7.0	0.21875
94	NC_008768	Enterococcus	faecium		mosaic		39626.0	43.0	10.0	0.23255813953488372
95	NC_010113	Vibrio	sp.		static		81413.0	95.0	0.0	0.0
96	NC_010114	Vibrio	sp.		static		31036.0	32.0	0.0	0.0
98	NC_003265	Staphylococcus	aureus		static		38211.0	50.0	6.0	0.12
103	NC_007190	Thermus	thermophilus		static		10402.0	15.0	0.0	0.0
105	NC_007203	Bacillus	thuringiensis		static		6909.0	12.0	0.0	0.0
107	NC_010378	Escherichia	coli		mosaic		51602.0	68.0	12.0	0.17647058823529413
108	NC_010409	Escherichia	coli		mosaic		151002.0	150.0	25.0	0.16666666666666666
109	NC_010481	Acinetobacter	baumannii		mosaic		29823.0	26.0	4.0	0.15384615384615385
113	NC_002147	Agrobacterium	tumefaciens		static		206479.0	195.0	6.0	0.03076923076923077
115	NC_010077	Staphylococcus	aureus		mosaic		34986.0	52.0	6.0	0.11538461538461539
118	NC_008821	Enterococcus	faecium		mosaic		39714.0	41.0	10.0	0.24390243902439024
119	NC_001399	Ralstonia	solanacearum		static		6633.0	15.0	0.0	0.0
130	NC_010726	Klebsiella	pneumoniae		mosaic		41723.0	41.0	2.0	0.04878048780487805
131	NC_007635	Escherichia	coli		mosaic		98396.0	94.0	17.0	0.18085106382978725
132	NC_004959	Lactococcus	lactis		static		10836.0	11.0	0.0	0.0
134	NC_010851	Streptomyces	sp.		static		54288.0	59.0	3.0	0.05084745762711865
137	NC_010862	Escherichia	coli		mosaic		101558.0	100.0	15.0	0.15
138	NC_010870	Klebsiella	pneumoniae		mosaic		269674.0	310.0	28.0	0.09032258064516129
140	NC_010886	Klebsiella	pneumoniae		mosaic		98264.0	90.0	21.0	0.23333333333333334
143	NC_010919	Aeromonas	hydrophila		mosaic		45909.0	50.0	2.0	0.04
144	NC_010929	Agrobacterium	tumefaciens		static		244978.0	223.0	24.0	0.10762331838565023
145	NC_010937	Clostridium	perfringens		static		47263.0	51.0	2.0	0.0392156862745098
146	NC_010980	Enterococcus	faecium		mosaic		63135.0	64.0	7.0	0.109375
147	NC_011101	Lactobacillus	plantarum		static		34522.0	25.0	9.0	0.36
151	NC_011140	Enterococcus	faecium		mosaic		34616.0	28.0	3.0	0.10714285714285714
155	NC_011364	Enterococcus	faecium		mosaic		65029.0	72.0	5.0	0.06944444444444445
158	NC_002517	Staphylococcus	aureus		static		20719.0	20.0	1.0	0.05
159	NC_002120	Yersinia	enterocolitica		mosaic		69673.0	69.0	1.0	0.014492753623188406
169	NC_011617	Klebsiella	pneumoniae		mosaic		67850.0	64.0	9.0	0.140625
171	NC_011642	Enterococcus	faecalis		mosaic		106527.0	113.0	4.0	0.035398230088495575
172	NC_011752	Escherichia	coli		mosaic		72482.0	103.0	30.0	0.2912621359223301
173	NC_011754	Escherichia	coli		mosaic		119594.0	138.0	16.0	0.11594202898550725
175	NC_011812	Escherichia	coli		mosaic		72946.0	101.0	6.0	0.0594059405940594
176	NC_011964	Escherichia	coli		mosaic		124705.0	126.0	20.0	0.15873015873015872
180	NC_012209	Yersinia	enterocolitica		static		14662.0	14.0	2.0	0.14285714285714285
183	NC_012222	Lactobacillus	paracasei		static		14442.0	15.0	2.0	0.13333333333333333
184	NC_012487	Escherichia	coli		mosaic		168100.0	195.0	35.0	0.1794871794871795
185	NC_012547	Staphylococcus	aureus		mosaic		54000.0	53.0	10.0	0.18867924528301888
186	NC_012556	Enterobacter	cloacae		mosaic		324503.0	313.0	36.0	0.11501597444089456
194	NC_012690	Escherichia	coli		mosaic		148105.0	173.0	24.0	0.13872832369942195
195	NC_012692	Escherichia	coli		mosaic		166530.0	189.0	20.0	0.10582010582010581
197	NC_012885	Aeromonas	hydrophila		mosaic		143963.0	158.0	10.0	0.06329113924050633
199	NC_006877	Acinetobacter	baumannii		mosaic		9540.0	11.0	0.0	0.0
200	NC_005566	Staphylococcus	epidermidis		mosaic		8013.0	11.0	2.0	0.18181818181818182
201	NC_006827	Enterococcus	faecalis		static		67673.0	57.0	0.0	0.0
205	NC_010283	Bacillus	thuringiensis		static		55712.0	69.0	0.0	0.0
206	NC_010279	Staphylococcus	aureus		static		39041.0	17.0	2.0	0.11764705882352941
209	NC_007926	Pseudomonas	putida		static		82232.0	84.0	2.0	0.023809523809523808
210	NC_012944	Escherichia	coli		mosaic		138362.0	119.0	22.0	0.18487394957983194
211	NC_013175	Escherichia	coli		mosaic		114222.0	117.0	19.0	0.1623931623931624
214	NC_004846	Haemophilus	influenzae		mosaic		32433.0	33.0	0.0	0.0
217	NC_008443	Borrelia	burgdorferi		static		8303.0	11.0	0.0	0.0
218	NC_008612	Photobacterium	damselae		mosaic		150157.0	187.0	9.0	0.0481283422459893
219	NC_011641	Klebsiella	pneumoniae		mosaic		68018.0	75.0	4.0	0.05333333333333334
221	NC_012886	Escherichia	coli		mosaic		52637.0	70.0	10.0	0.14285714285714285
230	NC_009841	Bacillus	thuringiensis		mosaic		67159.0	73.0	4.0	0.0547945205479452
234	NC_010419	Staphylococcus	aureus		mosaic		35380.0	44.0	6.0	0.13636363636363635
237	NC_010880	Enterococcus	faecium		static		21344.0	34.0	1.0	0.029411764705882353
240	NC_010901	Lactococcus	lactis		mosaic		64980.0	62.0	7.0	0.11290322580645161
242	NC_011383	Klebsiella	pneumoniae		mosaic		70655.0	87.0	17.0	0.19540229885057472
243	NC_011385	Klebsiella	pneumoniae		mosaic		75617.0	92.0	20.0	0.21739130434782608
244	NC_002630	Enterococcus	faecalis		mosaic		36804.0	49.0	3.0	0.061224489795918366
245	NC_013120	Escherichia	coli		mosaic		93732.0	95.0	8.0	0.08421052631578947
246	NC_013122	Escherichia	coli		mosaic		117536.0	141.0	29.0	0.20567375886524822
247	NC_013176	Pseudomonas	putida		mosaic		76494.0	70.0	10.0	0.14285714285714285
249	NC_013503	Escherichia	coli		mosaic		42644.0	58.0	3.0	0.05172413793103448
250	NC_013507	Escherichia	coli		mosaic		67094.0	99.0	23.0	0.23232323232323232
251	NC_013533	Enterococcus	faecalis		static		80600.0	89.0	5.0	0.056179775280898875
253	NC_013542	Klebsiella	pneumoniae		mosaic		70057.0	95.0	2.0	0.021052631578947368
254	NC_013543	Lactobacillus	paracasei		static		19882.0	23.0	2.0	0.08695652173913043
256	NC_013545	Sinorhizobium	meliloti		mosaic		144170.0	160.0	17.0	0.10625
258	NC_013550	Staphylococcus	aureus		mosaic		17334.0	14.0	3.0	0.21428571428571427
261	NC_013653	Staphylococcus	aureus		mosaic		41715.0	42.0	6.0	0.14285714285714285
262	NC_013728	Escherichia	coli		mosaic		111481.0	110.0	44.0	0.4
267	NC_013950	Klebsiella	pneumoniae		mosaic		94219.0	115.0	8.0	0.06956521739130435
269	NC_014016	Klebsiella	pneumoniae		mosaic		113637.0	121.0	17.0	0.14049586776859505
270	NC_014105	Neisseria	gonorrhoeae		static		42004.0	48.0	2.0	0.041666666666666664
271	NC_014111	Xylella	fastidiosa		static		25105.0	33.0	0.0	0.0
272	NC_014113	Xylella	fastidiosa		static		24372.0	30.0	0.0	0.0
273	NC_014124	Pseudomonas	putida		mosaic		128921.0	112.0	5.0	0.044642857142857144
275	NC_014208	Klebsiella	oxytoca		mosaic		54641.0	70.0	9.0	0.12857142857142856
276	NC_014234	Escherichia	coli		mosaic		74575.0	73.0	7.0	0.0958904109589041
277	NC_014312	Klebsiella	pneumoniae		mosaic		151188.0	156.0	22.0	0.14102564102564102
280	NC_014368	Klebsiella	pneumoniae		mosaic		79307.0	83.0	13.0	0.1566265060240964
281	NC_014382	Escherichia	coli		mosaic		73801.0	53.0	2.0	0.03773584905660377
282	NC_014383	Escherichia	coli		mosaic		92970.0	31.0	4.0	0.12903225806451613
283	NC_014385	Escherichia	coli		mosaic		144871.0	126.0	16.0	0.12698412698412698
284	NC_014475	Enterococcus	faecalis		mosaic		48365.0	40.0	5.0	0.125
285	NC_014477	Escherichia	coli		mosaic		93629.0	100.0	12.0	0.12
287	NC_014496	Listeria	grayi		static		79249.0	88.0	6.0	0.06818181818181818
288	NC_014615	Escherichia	coli		mosaic		165657.0	168.0	25.0	0.1488095238095238
291	NC_014726	Enterococcus	faecalis		mosaic		85068.0	98.0	12.0	0.12244897959183673
293	NC_014843	Escherichia	coli		mosaic		110416.0	119.0	15.0	0.12605042016806722
294	NC_015055	Yersinia	pestis		mosaic		16030.0	26.0	3.0	0.11538461538461539
295	NC_015154	Klebsiella	pneumoniae		mosaic		95626.0	80.0	8.0	0.1
298	NC_015256	Tetragenococcus	muriaticus		mosaic		21516.0	16.0	4.0	0.25
299	NC_015432	Staphylococcus	saprophyticus		static		66104.0	45.0	4.0	0.08888888888888889
300	NC_015472	Escherichia	coli		mosaic		21423.0	28.0	5.0	0.17857142857142858
301	NC_015599	Escherichia	coli		mosaic		54205.0	61.0	4.0	0.06557377049180328
303	NC_005246	Erwinia	amylovora		static		60145.0	67.0	0.0	0.0
304	NC_007682	Escherichia	coli		mosaic		56634.0	60.0	9.0	0.15
305	NC_008259	Enterococcus	faecium		static		7383.0	10.0	0.0	0.0
308	NC_010282	Bacillus	thuringiensis		static		12459.0	14.0	0.0	0.0
309	NC_010377	Yersinia	enterocolitica		mosaic		95499.0	232.0	7.0	0.03017241379310345
311	NC_014508	Enterococcus	faecalis		mosaic		32388.0	29.0	8.0	0.27586206896551724
312	NC_015056	Yersinia	pestis		mosaic		77072.0	116.0	26.0	0.22413793103448276
314	NC_007594	Enterococcus	faecium		static		52890.0	60.0	1.0	0.016666666666666666
315	NC_007773	Clostridium	perfringens		static		75268.0	73.0	5.0	0.0684931506849315
323	NC_011409	Haemophilus	influenzae		mosaic		59393.0	62.0	6.0	0.0967741935483871
324	NC_007206	Haemophilus	influenzae		static		32628.0	34.0	0.0	0.0
326	NC_012555	Enterobacter	cloacae		mosaic		318782.0	309.0	34.0	0.11003236245954692
327	NC_014233	Escherichia	coli		mosaic		55709.0	52.0	11.0	0.21153846153846154
328	NC_015068	Yersinia	pestis		mosaic		36085.0	51.0	1.0	0.0196078431372549
331	NC_015861	Lactococcus	lactis		static		19244.0	20.0	3.0	0.15
332	NC_015863	Lactococcus	lactis		static		23395.0	22.0	5.0	0.22727272727272727
333	NC_015864	Lactococcus	lactis		static		28546.0	26.0	6.0	0.23076923076923078
334	NC_015862	Lactococcus	lactis		static		48978.0	47.0	7.0	0.14893617021276595
335	NC_015872	Escherichia	coli		mosaic		35947.0	40.0	5.0	0.125
336	NC_015900	Lactococcus	lactis		static		18977.0	21.0	2.0	0.09523809523809523
337	NC_015901	Lactococcus	lactis		mosaic		22166.0	19.0	2.0	0.10526315789473684
338	NC_015902	Lactococcus	lactis		static		53876.0	41.0	7.0	0.17073170731707318
339	NC_015912	Lactococcus	lactis		static		21728.0	14.0	2.0	0.14285714285714285
341	NC_009137	Lactococcus	lactis		mosaic		16404.0	15.0	4.0	0.26666666666666666
343	NC_011382	Klebsiella	pneumoniae		mosaic		23753.0	24.0	7.0	0.2916666666666667
344	NC_011522	Staphylococcus	aureus		static		7904.0	13.0	0.0	0.0
346	NC_004971	Borrelia	burgdorferi		static		21170.0	31.0	1.0	0.03225806451612903
348	NC_005247	Erwinia	amylovora		static		30314.0	25.0	0.0	0.0
349	NC_006979	Streptococcus	pyogenes		mosaic		28975.0	35.0	0.0	0.0
350	NC_013121	Escherichia	coli		mosaic		64471.0	79.0	21.0	0.26582278481012656
351	NC_014369	Staphylococcus	aureus		mosaic		28150.0	28.0	5.0	0.17857142857142858
352	NC_014959	Enterococcus	faecium		mosaic		39032.0	41.0	9.0	0.21951219512195122
353	NC_015054	Yersinia	pestis		mosaic		35044.0	44.0	1.0	0.022727272727272728
360	NC_015972	Serratia	marcescens		static		43190.0	31.0	6.0	0.1935483870967742
361	NC_016009	Enterococcus	faecium		mosaic		19557.0	28.0	8.0	0.2857142857142857
362	NC_016039	Escherichia	coli		mosaic		70060.0	97.0	2.0	0.020618556701030927
363	NC_016053	Xanthomonas	arboricola		static		41102.0	43.0	4.0	0.09302325581395349
364	NC_016600	Pseudonocardia	dioxanivorans		static		45552.0	43.0	1.0	0.023255813953488372
365	NC_016643	Staphylococcus	saprophyticus		mosaic		36907.0	35.0	1.0	0.02857142857142857
367	NC_016852	Aeromonas	hydrophila		static		8979.0	14.0	1.0	0.07142857142857142
369	NC_016966	Klebsiella	pneumoniae		mosaic		220824.0	219.0	46.0	0.2100456621004566
371	NC_016974	Providencia	stuartii		mosaic		178277.0	148.0	24.0	0.16216216216216217
374	NC_016980	Klebsiella	pneumoniae		mosaic		267242.0	180.0	30.0	0.16666666666666666
375	NC_016976	Klebsiella	pneumoniae		mosaic		170810.0	202.0	15.0	0.07425742574257425
378	NC_017489	Lactococcus	lactis		static		8277.0	10.0	2.0	0.2
379	NC_017478	Lactococcus	lactis		static		47165.0	40.0	6.0	0.15
380	NC_017772	Pseudonocardia	dioxanivorans		static		24346.0	18.0	0.0	0.0
381	NC_005705	Acidipropionibacterium	jensenii		mosaic		6868.0	10.0	0.0	0.0
384	NC_004058	Haemophilus	influenzae		mosaic		32379.0	34.0	0.0	0.0
391	NC_008445	Enterococcus	faecalis		mosaic		50237.0	57.0	7.0	0.12280701754385964
396	NC_005017	Yersinia	enterocolitica		mosaic		67720.0	66.0	2.0	0.030303030303030304
397	NC_005088	Delftia	acidovorans		mosaic		67066.0	69.0	7.0	0.10144927536231885
400	NC_016967	Enterococcus	faecium		mosaic		68058.0	63.0	0.0	0.0
401	NC_017908	Mycobacterium	abscessus		mosaic		56265.0	61.0	4.0	0.06557377049180328
402	NC_010257	Escherichia	coli		mosaic		32014.0	38.0	6.0	0.15789473684210525
403	NC_005054	Staphylococcus	aureus		mosaic		57889.0	57.0	10.0	0.17543859649122806
405	NC_005127	Staphylococcus	aureus		mosaic		21845.0	25.0	4.0	0.16
407	NC_013514	Enterococcus	faecalis		mosaic		27815.0	32.0	0.0	0.0
409	NC_017498	Lactococcus	lactis		mosaic		10372.0	13.0	3.0	0.23076923076923078
410	NC_017500	Lactococcus	lactis		static		75814.0	61.0	10.0	0.16393442622950818
411	NC_013551	Lactococcus	lactis		mosaic		13332.0	14.0	2.0	0.14285714285714285
412	NC_010281	Bacillus	thuringiensis		static		12095.0	11.0	1.0	0.09090909090909091
413	NC_010895	Bacillus	thuringiensis		static		14841.0	13.0	0.0	0.0
415	NC_010112	Vibrio	sp.		static		52527.0	63.0	0.0	0.0
417	NC_016601	Pseudonocardia	dioxanivorans		static		66907.0	55.0	7.0	0.12727272727272726
419	NC_009444	Pseudomonas	fluorescens		static		425094.0	474.0	5.0	0.010548523206751054
420	NC_013128	Borrelia	burgdorferi		static		48220.0	58.0	0.0	0.0
421	NC_013319	Staphylococcus	aureus		mosaic		29254.0	32.0	5.0	0.15625
422	NC_013320	Staphylococcus	aureus		mosaic		50429.0	57.0	11.0	0.19298245614035087
423	NC_013289	Staphylococcus	aureus		mosaic		27068.0	36.0	6.0	0.16666666666666666
424	NC_013372	Staphylococcus	epidermidis		mosaic		43807.0	55.0	17.0	0.3090909090909091
425	NC_013387	Staphylococcus	sp.		mosaic		32487.0	42.0	12.0	0.2857142857142857
426	NC_018952	Staphylococcus	aureus		mosaic		33701.0	43.0	5.0	0.11627906976744186
427	NC_013338	Staphylococcus	aureus		mosaic		50500.0	55.0	12.0	0.21818181818181817
428	NC_013339	Staphylococcus	aureus		mosaic		42198.0	50.0	8.0	0.16
433	NC_013351	Staphylococcus	aureus		mosaic		26016.0	36.0	7.0	0.19444444444444445
434	NC_013352	Staphylococcus	aureus		mosaic		23983.0	29.0	4.0	0.13793103448275862
437	NC_013322	Staphylococcus	aureus		mosaic		27435.0	29.0	3.0	0.10344827586206896
438	NC_013373	Staphylococcus	sp.		static		64909.0	78.0	5.0	0.0641025641025641
439	NC_013323	Staphylococcus	aureus		static		33660.0	44.0	7.0	0.1590909090909091
440	NC_013326	Staphylococcus	aureus		mosaic		33702.0	42.0	5.0	0.11904761904761904
441	NC_018972	Staphylococcus	aureus		mosaic		27268.0	34.0	2.0	0.058823529411764705
442	NC_013329	Staphylococcus	aureus		static		38045.0	51.0	0.0	0.0
443	NC_013374	Staphylococcus	epidermidis		mosaic		37564.0	46.0	7.0	0.15217391304347827
445	NC_013303	Staphylococcus	aureus		mosaic		20653.0	25.0	5.0	0.2
446	NC_013304	Staphylococcus	aureus		mosaic		20729.0	25.0	4.0	0.16
447	NC_013343	Staphylococcus	aureus		mosaic		43892.0	49.0	9.0	0.1836734693877551
448	NC_013317	Enterococcus	faecium		mosaic		21806.0	27.0	4.0	0.14814814814814814
449	NC_013347	Staphylococcus	aureus		mosaic		22694.0	27.0	4.0	0.14814814814814814
450	NC_013348	Staphylococcus	aureus		mosaic		45052.0	59.0	8.0	0.13559322033898305
451	NC_013349	Staphylococcus	aureus		static		16428.0	22.0	1.0	0.045454545454545456
452	NC_018979	Borrelia	burgdorferi		static		30795.0	42.0	0.0	0.0
453	NC_018980	Borrelia	burgdorferi		static		21165.0	25.0	0.0	0.0
454	NC_018989	Borrelia	burgdorferi		static		20974.0	13.0	0.0	0.0
455	NC_018990	Borrelia	burgdorferi		static		25211.0	17.0	0.0	0.0
456	NC_018991	Borrelia	burgdorferi		static		27035.0	26.0	1.0	0.038461538461538464
457	NC_018992	Borrelia	burgdorferi		static		12965.0	10.0	0.0	0.0
458	NC_018993	Borrelia	burgdorferi		mosaic		25788.0	19.0	0.0	0.0
459	NC_018994	Escherichia	coli		mosaic		195560.0	224.0	19.0	0.08482142857142858
460	NC_018995	Escherichia	coli		mosaic		91942.0	131.0	6.0	0.04580152671755725
462	NC_019000	Escherichia	coli		mosaic		73564.0	140.0	29.0	0.20714285714285716
463	NC_013331	Staphylococcus	aureus		mosaic		28974.0	36.0	5.0	0.1388888888888889
464	NC_019003	Borrelia	burgdorferi		static		30902.0	42.0	0.0	0.0
465	NC_019004	Borrelia	burgdorferi		static		30286.0	42.0	1.0	0.023809523809523808
466	NC_019006	Borrelia	burgdorferi		static		30262.0	42.0	0.0	0.0
470	NC_013371	Staphylococcus	sp.		static		9968.0	12.0	0.0	0.0
471	NC_013318	Staphylococcus	aureus		mosaic		27267.0	35.0	2.0	0.05714285714285714
472	NC_013324	Staphylococcus	aureus		mosaic		29646.0	35.0	6.0	0.17142857142857143
473	NC_013327	Staphylococcus	aureus		mosaic		38087.0	47.0	1.0	0.02127659574468085
474	NC_013335	Staphylococcus	aureus		mosaic		22987.0	30.0	0.0	0.0
475	NC_013337	Staphylococcus	aureus		mosaic		30857.0	41.0	6.0	0.14634146341463414
478	NC_019018	Mycobacterium	marinum		static		104530.0	85.0	13.0	0.15294117647058825
479	NC_013325	Staphylococcus	aureus		mosaic		38204.0	49.0	1.0	0.02040816326530612
480	NC_013377	Staphylococcus	epidermidis		mosaic		26236.0	36.0	3.0	0.08333333333333333
481	NC_013378	Staphylococcus	epidermidis		static		16775.0	18.0	1.0	0.05555555555555555
482	NC_013380	Staphylococcus	epidermidis		static		8435.0	12.0	0.0	0.0
483	NC_013381	Staphylococcus	epidermidis		static		42623.0	39.0	8.0	0.20512820512820512
484	NC_013382	Staphylococcus	epidermidis		mosaic		10445.0	16.0	4.0	0.25
485	NC_013389	Staphylococcus	epidermidis		static		24518.0	26.0	2.0	0.07692307692307693
486	NC_013294	Staphylococcus	aureus		mosaic		27068.0	36.0	6.0	0.16666666666666666
488	NC_013296	Staphylococcus	aureus		mosaic		25022.0	34.0	6.0	0.17647058823529413
489	NC_013298	Staphylococcus	aureus		mosaic		27067.0	37.0	6.0	0.16216216216216217
490	NC_013332	Staphylococcus	aureus		mosaic		32445.0	43.0	9.0	0.20930232558139536
491	NC_013333	Staphylococcus	aureus		static		20453.0	25.0	2.0	0.08
492	NC_013334	Staphylococcus	aureus		static		39308.0	48.0	4.0	0.08333333333333333
494	NC_013330	Staphylococcus	aureus		static		28384.0	28.0	3.0	0.10714285714285714
495	NC_019007	Staphylococcus	aureus		mosaic		27268.0	34.0	2.0	0.058823529411764705
498	NC_019010	Staphylococcus	aureus		mosaic		27439.0	32.0	2.0	0.0625
500	NC_013321	Staphylococcus	aureus		mosaic		32650.0	40.0	10.0	0.25
501	NC_013290	Staphylococcus	aureus		static		20653.0	25.0	5.0	0.2
503	NC_013328	Staphylococcus	aureus		mosaic		30047.0	31.0	7.0	0.22580645161290322
505	NC_018978	Erwinia	amylovora		static		28138.0	30.0	2.0	0.06666666666666667
506	NC_018981	Borrelia	burgdorferi		static		30636.0	42.0	0.0	0.0
507	NC_018988	Borrelia	burgdorferi		static		20978.0	10.0	0.0	0.0
508	NC_013379	Staphylococcus	epidermidis		static		38556.0	41.0	3.0	0.07317073170731707
509	NC_013393	Staphylococcus	epidermidis		mosaic		23263.0	26.0	2.0	0.07692307692307693
510	NC_013383	Staphylococcus	epidermidis		mosaic		24711.0	25.0	4.0	0.16
511	NC_013313	Staphylococcus	aureus		static		20730.0	25.0	4.0	0.16
512	NC_018997	Escherichia	coli		static		7930.0	15.0	0.0	0.0
513	NC_019005	Borrelia	burgdorferi		static		30641.0	42.0	1.0	0.023809523809523808
515	NC_018965	Staphylococcus	aureus		mosaic		35510.0	43.0	8.0	0.18604651162790697
516	NC_013341	Staphylococcus	aureus		static		13342.0	15.0	2.0	0.13333333333333333
523	NC_013292	Staphylococcus	aureus		mosaic		24654.0	30.0	3.0	0.1
524	NC_013293	Staphylococcus	aureus		static		20730.0	25.0	4.0	0.16
525	NC_013299	Staphylococcus	aureus		mosaic		23059.0	30.0	5.0	0.16666666666666666
526	NC_013301	Staphylococcus	aureus		mosaic		20672.0	27.0	6.0	0.2222222222222222
527	NC_019008	Staphylococcus	aureus		static		27268.0	33.0	2.0	0.06060606060606061
528	NC_013340	Staphylococcus	aureus		mosaic		35114.0	42.0	8.0	0.19047619047619047
529	NC_019009	Staphylococcus	aureus		mosaic		35508.0	43.0	8.0	0.18604651162790697
530	NC_013342	Staphylococcus	aureus		mosaic		47322.0	53.0	10.0	0.18867924528301888
531	NC_013344	Staphylococcus	aureus		mosaic		44116.0	49.0	10.0	0.20408163265306123
532	NC_018982	Borrelia	burgdorferi		static		21172.0	24.0	0.0	0.0
533	NC_018983	Borrelia	burgdorferi		static		26514.0	26.0	0.0	0.0
534	NC_018984	Borrelia	burgdorferi		static		30301.0	41.0	0.0	0.0
535	NC_018986	Borrelia	burgdorferi		static		22715.0	18.0	2.0	0.1111111111111111
536	NC_018987	Borrelia	burgdorferi		static		22135.0	24.0	0.0	0.0
537	NC_018998	Escherichia	coli		mosaic		91019.0	112.0	19.0	0.16964285714285715
541	NC_019033	Escherichia	coli		mosaic		42379.0	47.0	3.0	0.06382978723404255
545	NC_011917	Escherichia	coli		static		108379.0	122.0	1.0	0.00819672131147541
546	NC_019037	Escherichia	coli		mosaic		82676.0	105.0	2.0	0.01904761904761905
547	NC_019039	Escherichia	coli		mosaic		56676.0	86.0	2.0	0.023255813953488372
548	NC_019044	Escherichia	coli		mosaic		92290.0	93.0	7.0	0.07526881720430108
549	NC_019043	Escherichia	coli		mosaic		107138.0	115.0	12.0	0.10434782608695652
554	NC_019061	Escherichia	coli		mosaic		103297.0	104.0	12.0	0.11538461538461539
557	NC_019081	Escherichia	coli		mosaic		7995.0	10.0	2.0	0.2
558	NC_019082	Escherichia	coli		mosaic		51556.0	45.0	5.0	0.1111111111111111
559	NC_019083	Escherichia	coli		static		34945.0	45.0	1.0	0.022222222222222223
562	NC_019087	Escherichia	coli		mosaic		44216.0	49.0	5.0	0.10204081632653061
563	NC_019088	Escherichia	coli		mosaic		47506.0	42.0	3.0	0.07142857142857142
564	NC_011514	Escherichia	coli		mosaic		10669.0	11.0	2.0	0.18181818181818182
565	NC_019092	Escherichia	coli		static		8848.0	14.0	0.0	0.0
566	NC_019013	Escherichia	coli		mosaic		50572.0	60.0	4.0	0.06666666666666667
567	NC_019062	Escherichia	coli		mosaic		30016.0	30.0	9.0	0.3
568	NC_019065	Escherichia	coli		mosaic		135803.0	148.0	5.0	0.033783783783783786
569	NC_019066	Escherichia	coli		mosaic		161081.0	172.0	19.0	0.11046511627906977
570	NC_019067	Escherichia	coli		mosaic		38611.0	50.0	3.0	0.06
