	locus	Genus	Species	environment	character	IS26	length	CDS
145	NC_010937	Clostridium	perfringens		static		47263.0	51.0
146	NC_010980	Enterococcus	faecium		mosaic		63135.0	64.0
147	NC_011101	Lactobacillus	plantarum		static		34522.0	25.0
148	NC_011102	Mycoplasma	yeatsii		static		3432.0	2.0
149	NC_011136	Lactobacillus	plantarum		mosaic		2066.0	2.0
150	NC_011139	Bifidobacterium	longum		static		2197.0	4.0
151	NC_011140	Enterococcus	faecium		mosaic		34616.0	28.0
152	NC_011207	Aeromonas	hydrophila		static		7621.0	6.0
153	NC_011228	Escherichia	coli		static		6758.0	5.0
154	NC_011363	Zymomonas	mobilis		static		1651.0	1.0
155	NC_011364	Enterococcus	faecium		mosaic		65029.0	72.0
156	NC_011378	Pasteurella	multocida		mosaic		10226.0	9.0
157	NC_005013	Enterococcus	faecalis		mosaic		9759.0	9.0
158	NC_002517	Staphylococcus	aureus		static		20719.0	20.0
159	NC_002120	Yersinia	enterocolitica		mosaic		69673.0	69.0
160	NC_001431	Ralstonia	pickettii		static		2241.0	3.0
161	NC_011405	Klebsiella	pneumoniae		static		2348.0	2.0
162	NC_011406	Klebsiella	pneumoniae		static		2520.0	2.0
163	NC_011418	Escherichia	coli		static		4669.0	4.0
164	NC_011497	Lactobacillus	plantarum		mosaic		2111.0	1.0
165	NC_006977	Staphylococcus	aureus		static		4555.0	4.0
166	NC_011521	Neisseria	gonorrhoeae		mosaic		6062.0	2.0
167	NC_011605	Staphylococcus	aureus		static		5713.0	3.0
168	NC_011610	Lactococcus	lactis		static		6068.0	4.0
169	NC_011617	Klebsiella	pneumoniae		mosaic		67850.0	64.0
170	NC_011640	Klebsiella	pneumoniae		static		4211.0	5.0
171	NC_011642	Enterococcus	faecalis		mosaic		106527.0	113.0
172	NC_011752	Escherichia	coli		mosaic		72482.0	103.0
173	NC_011754	Escherichia	coli		mosaic		119594.0	138.0
174	NC_011799	Escherichia	coli		static		5217.0	6.0
175	NC_011812	Escherichia	coli		mosaic		72946.0	101.0
176	NC_011964	Escherichia	coli		mosaic		124705.0	126.0
177	NC_012006	Enterobacter	cloacae		static		7560.0	6.0
178	NC_012031	Pediococcus	pentosaceus		static		10153.0	9.0
179	NC_012208	Yersinia	enterocolitica		static		4357.0	6.0
180	NC_012209	Yersinia	enterocolitica		static		14662.0	14.0
181	NC_012215	Pasteurella	multocida		mosaic		4237.0	5.0
182	NC_012216	Pasteurella	multocida		mosaic		6033.0	4.0
183	NC_012222	Lactobacillus	paracasei		static		14442.0	15.0
184	NC_012487	Escherichia	coli		mosaic		168100.0	195.0
185	NC_012547	Staphylococcus	aureus		mosaic		54000.0	53.0
186	NC_012556	Enterobacter	cloacae		mosaic		324503.0	313.0
187	NC_012625	Chlamydia	trachomatis		mosaic		7493.0	8.0
188	NC_012626	Chlamydia	trachomatis		mosaic		7471.0	8.0
189	NC_012627	Chlamydia	trachomatis		mosaic		7502.0	8.0
190	NC_012628	Lactobacillus	plantarum		static		4031.0	5.0
191	NC_012630	Chlamydia	trachomatis		mosaic		7169.0	8.0
192	NC_012631	Chlamydia	trachomatis		mosaic		7502.0	8.0
193	NC_012661	[Haemophilus]	parasuis		static		6320.0	5.0
194	NC_012690	Escherichia	coli		mosaic		148105.0	173.0
195	NC_012692	Escherichia	coli		mosaic		166530.0	189.0
196	NC_012882	Escherichia	coli		static		6751.0	5.0
197	NC_012885	Aeromonas	hydrophila		mosaic		143963.0	158.0
198	NC_003526	Micrococcus	luteus		static		2331.0	1.0
199	NC_006877	Acinetobacter	baumannii		mosaic		9540.0	11.0
200	NC_005566	Staphylococcus	epidermidis		mosaic		8013.0	11.0
201	NC_006827	Enterococcus	faecalis		static		67673.0	57.0
202	NC_005792	Thermus	thermophilus		static		9328.0	8.0
203	NC_002518	Pseudomonas	putida		static		2534.0	4.0
204	NC_010286	Chlamydia	trachomatis		mosaic		7500.0	8.0
205	NC_010283	Bacillus	thuringiensis		static		55712.0	69.0
206	NC_010279	Staphylococcus	aureus		static		39041.0	17.0
207	NC_010284	Staphylococcus	aureus		static		4441.0	3.0
208	NC_010722	Pseudomonas	aeruginosa		static		2140.0	1.0
209	NC_007926	Pseudomonas	putida		static		82232.0	84.0
210	NC_012944	Escherichia	coli		mosaic		138362.0	119.0
211	NC_013175	Escherichia	coli		mosaic		114222.0	117.0
212	NC_002192	Lactococcus	lactis		static		2178.0	4.0
213	NC_002610	Klebsiella	pneumoniae		static		5258.0	5.0
214	NC_004846	Haemophilus	influenzae		mosaic		32433.0	33.0
215	NC_004968	Streptococcus	thermophilus		static		2672.0	3.0
216	NC_006881	Escherichia	coli		mosaic		8318.0	7.0
217	NC_008443	Borrelia	burgdorferi		static		8303.0	11.0
218	NC_008612	Photobacterium	damselae		mosaic		150157.0	187.0
219	NC_011641	Klebsiella	pneumoniae		mosaic		68018.0	75.0
220	NC_011796	Bacillus	thuringiensis		mosaic		7635.0	9.0
221	NC_012886	Escherichia	coli		mosaic		52637.0	70.0
222	NC_002129	Staphylococcus	aureus		static		4557.0	4.0
223	NC_002111	Riemerella	anatipestifer		static		3966.0	4.0
224	NC_007207	Leuconostoc	mesenteroides		static		4661.0	2.0
225	NC_007209	Staphylococcus	aureus		mosaic		2473.0	3.0
226	NC_004940	Erwinia	amylovora		static		1711.0	5.0
227	NC_004747	Streptococcus	thermophilus		static		3531.0	4.0
228	NC_005323	Streptococcus	thermophilus		mosaic		4449.0	5.0
229	NC_005248	Escherichia	coli		mosaic		8145.0	3.0
230	NC_009841	Bacillus	thuringiensis		mosaic		67159.0	73.0
231	NC_004768	Bifidobacterium	longum		static		10224.0	8.0
232	NC_004978	Bifidobacterium	longum		static		4960.0	3.0
233	NC_010428	Staphylococcus	aureus		static		3124.0	2.0
234	NC_010419	Staphylococcus	aureus		mosaic		35380.0	44.0
235	NC_010423	Streptococcus	pyogenes		static		4968.0	3.0
236	NC_010796	Serratia	marcescens		static		4241.0	5.0
237	NC_010880	Enterococcus	faecium		static		21344.0	34.0
238	NC_010881	Neisseria	gonorrhoeae		static		5161.0	3.0
239	NC_010883	Escherichia	coli		static		6750.0	5.0
240	NC_010901	Lactococcus	lactis		mosaic		64980.0	62.0
241	NC_010904	Escherichia	coli		static		4715.0	3.0
242	NC_011383	Klebsiella	pneumoniae		mosaic		70655.0	87.0
243	NC_011385	Klebsiella	pneumoniae		mosaic		75617.0	92.0
244	NC_002630	Enterococcus	faecalis		mosaic		36804.0	49.0
245	NC_013120	Escherichia	coli		mosaic		93732.0	95.0
246	NC_013122	Escherichia	coli		mosaic		117536.0	141.0
247	NC_013176	Pseudomonas	putida		mosaic		76494.0	70.0
248	NC_013277	Acinetobacter	baumannii		mosaic		10679.0	9.0
249	NC_013503	Escherichia	coli		mosaic		42644.0	58.0
250	NC_013507	Escherichia	coli		mosaic		67094.0	99.0
251	NC_013533	Enterococcus	faecalis		static		80600.0	89.0
252	NC_013541	Lactobacillus	plantarum		static		2140.0	1.0
253	NC_013542	Klebsiella	pneumoniae		mosaic		70057.0	95.0
254	NC_013543	Lactobacillus	paracasei		static		19882.0	23.0
255	NC_013544	Lactobacillus	paracasei		mosaic		8554.0	9.0
256	NC_013545	Sinorhizobium	meliloti		mosaic		144170.0	160.0
257	NC_013549	Buchnera	aphidicola		static		6521.0	5.0
258	NC_013550	Staphylococcus	aureus		mosaic		17334.0	14.0
259	NC_013589	Escherichia	coli		static		5159.0	3.0
260	NC_013652	Escherichia	coli		static		2330.0	1.0
261	NC_013653	Staphylococcus	aureus		mosaic		41715.0	42.0
262	NC_013728	Escherichia	coli		mosaic		111481.0	110.0
263	NC_013780	Aeromonas	hydrophila		static		3680.0	2.0
264	NC_013782	Escherichia	coli		mosaic		3071.0	1.0
265	NC_013783	Lactococcus	lactis		static		1594.0	2.0
266	NC_013789	Lactobacillus	plantarum		static		2968.0	7.0
267	NC_013950	Klebsiella	pneumoniae		mosaic		94219.0	115.0
268	NC_013969	Staphylococcus	aureus		static		1365.0	2.0
269	NC_014016	Klebsiella	pneumoniae		mosaic		113637.0	121.0
270	NC_014105	Neisseria	gonorrhoeae		static		42004.0	48.0
271	NC_014111	Xylella	fastidiosa		static		25105.0	33.0
272	NC_014113	Xylella	fastidiosa		static		24372.0	30.0
273	NC_014124	Pseudomonas	putida		mosaic		128921.0	112.0
274	NC_014156	Staphylococcus	aureus		mosaic		6242.0	4.0
275	NC_014208	Klebsiella	oxytoca		mosaic		54641.0	70.0
276	NC_014234	Escherichia	coli		mosaic		74575.0	73.0
277	NC_014312	Klebsiella	pneumoniae		mosaic		151188.0	156.0
278	NC_014356	Escherichia	coli		mosaic		9042.0	8.0
279	NC_014367	Pediococcus	pentosaceus		static		2721.0	2.0
280	NC_014368	Klebsiella	pneumoniae		mosaic		79307.0	83.0
281	NC_014382	Escherichia	coli		mosaic		73801.0	53.0
282	NC_014383	Escherichia	coli		mosaic		92970.0	31.0
283	NC_014385	Escherichia	coli		mosaic		144871.0	126.0
284	NC_014475	Enterococcus	faecalis		mosaic		48365.0	40.0
285	NC_014477	Escherichia	coli		mosaic		93629.0	100.0
286	NC_014478	Klebsiella	pneumoniae		static		8187.0	7.0
287	NC_014496	Listeria	grayi		static		79249.0	88.0
288	NC_014615	Escherichia	coli		mosaic		165657.0	168.0
289	NC_014627	Lactobacillus	plantarum		static		1806.0	2.0
290	NC_014235	Escherichia	coli		mosaic		7497.0	8.0
291	NC_014726	Enterococcus	faecalis		mosaic		85068.0	98.0
292	NC_014813	Haemophilus	influenzae		mosaic		4613.0	4.0
293	NC_014843	Escherichia	coli		mosaic		110416.0	119.0
294	NC_015055	Yersinia	pestis		mosaic		16030.0	26.0
295	NC_015154	Klebsiella	pneumoniae		mosaic		95626.0	80.0
296	NC_015171	Staphylococcus	hyicus		static		4957.0	5.0
297	NC_015175	Enterobacter	cloacae		static		5782.0	4.0
298	NC_015256	Tetragenococcus	muriaticus		mosaic		21516.0	16.0
299	NC_015432	Staphylococcus	saprophyticus		static		66104.0	45.0
300	NC_015472	Escherichia	coli		mosaic		21423.0	28.0
301	NC_015599	Escherichia	coli		mosaic		54205.0	61.0
302	NC_004843	Buchnera	aphidicola		static		2308.0	2.0
303	NC_005246	Erwinia	amylovora		static		60145.0	67.0
304	NC_007682	Escherichia	coli		mosaic		56634.0	60.0
305	NC_008259	Enterococcus	faecium		static		7383.0	10.0
306	NC_010064	Escherichia	coli		mosaic		2004.0	2.0
307	NC_010261	Klebsiella	pneumoniae		mosaic		8197.0	6.0
308	NC_010282	Bacillus	thuringiensis		static		12459.0	14.0
309	NC_010377	Yersinia	enterocolitica		mosaic		95499.0	232.0
310	NC_010859	Streptococcus	thermophilus		static		6710.0	5.0
311	NC_014508	Enterococcus	faecalis		mosaic		32388.0	29.0
312	NC_015056	Yersinia	pestis		mosaic		77072.0	116.0
313	NC_006903	Onion	yellows		mosaic		5045.0	6.0
314	NC_007594	Enterococcus	faecium		static		52890.0	60.0
315	NC_007773	Clostridium	perfringens		static		75268.0	73.0
316	NC_002776	Streptococcus	thermophilus		static		4139.0	4.0
317	NC_003969	Staphylococcus	epidermidis		static		2391.0	3.0
318	NC_011227	Escherichia	coli		mosaic		4073.0	3.0
319	NC_012220	Lactobacillus	plantarum		mosaic		2112.0	1.0
320	NC_001763	Staphylococcus	aureus		mosaic		6024.0	2.0
321	NC_004334	Bacillus	thuringiensis		mosaic		6829.0	3.0
322	NC_004653	Lactococcus	lactis		static		7264.0	5.0
323	NC_011409	Haemophilus	influenzae		mosaic		59393.0	62.0
324	NC_007206	Haemophilus	influenzae		static		32628.0	34.0
325	NC_008486	Escherichia	coli		static		1902.0	1.0
326	NC_012555	Enterobacter	cloacae		mosaic		318782.0	309.0
327	NC_014233	Escherichia	coli		mosaic		55709.0	52.0
328	NC_015068	Yersinia	pestis		mosaic		36085.0	51.0
329	NC_015849	Enterococcus	faecium		static		3825.0	5.0
330	NC_015860	Lactococcus	lactis		static		6382.0	7.0
331	NC_015861	Lactococcus	lactis		static		19244.0	20.0
332	NC_015863	Lactococcus	lactis		static		23395.0	22.0
333	NC_015864	Lactococcus	lactis		static		28546.0	26.0
334	NC_015862	Lactococcus	lactis		static		48978.0	47.0
335	NC_015872	Escherichia	coli		mosaic		35947.0	40.0
336	NC_015900	Lactococcus	lactis		static		18977.0	21.0
337	NC_015901	Lactococcus	lactis		mosaic		22166.0	19.0
338	NC_015902	Lactococcus	lactis		static		53876.0	41.0
339	NC_015912	Lactococcus	lactis		static		21728.0	14.0
340	NC_001446	Bacillus	thuringiensis		static		7649.0	2.0
341	NC_009137	Lactococcus	lactis		mosaic		16404.0	15.0
342	NC_011266	Escherichia	coli		static		1549.0	1.0
343	NC_011382	Klebsiella	pneumoniae		mosaic		23753.0	24.0
344	NC_011522	Staphylococcus	aureus		static		7904.0	13.0
345	NC_010098	Lactobacillus	plantarum		static		2820.0	2.0
346	NC_004971	Borrelia	burgdorferi		static		21170.0	31.0
347	NC_004163	Lactococcus	lactis		static		7344.0	6.0
348	NC_005247	Erwinia	amylovora		static		30314.0	25.0
349	NC_006979	Streptococcus	pyogenes		mosaic		28975.0	35.0
350	NC_013121	Escherichia	coli		mosaic		64471.0	79.0
351	NC_014369	Staphylococcus	aureus		mosaic		28150.0	28.0
352	NC_014959	Enterococcus	faecium		mosaic		39032.0	41.0
353	NC_015054	Yersinia	pestis		mosaic		35044.0	44.0
354	NC_002123	Lactobacillus	plantarum		static		2295.0	1.0
355	NC_010907	Streptococcus	dysgalactiae		static		3578.0	5.0
356	NC_011073	Bacteroides	fragilis		static		5594.0	8.0
357	NC_004771	Pasteurella	multocida		mosaic		6792.0	6.0
358	NC_011795	Escherichia	coli		mosaic		6148.0	6.0
359	NC_015950	Riemerella	anatipestifer		mosaic		10302.0	9.0
360	NC_015972	Serratia	marcescens		static		43190.0	31.0
361	NC_016009	Enterococcus	faecium		mosaic		19557.0	28.0
362	NC_016039	Escherichia	coli		mosaic		70060.0	97.0
363	NC_016053	Xanthomonas	arboricola		static		41102.0	43.0
364	NC_016600	Pseudonocardia	dioxanivorans		static		45552.0	43.0
365	NC_016643	Staphylococcus	saprophyticus		mosaic		36907.0	35.0
366	NC_016849	Aeromonas	hydrophila		static		6903.0	4.0
367	NC_016852	Aeromonas	hydrophila		static		8979.0	14.0
368	NC_016151	Citrobacter	freundii		static		6720.0	7.0
369	NC_016966	Klebsiella	pneumoniae		mosaic		220824.0	219.0
370	NC_016973	Pasteurella	multocida		mosaic		5265.0	5.0
371	NC_016974	Providencia	stuartii		mosaic		178277.0	148.0
372	NC_016977	Acinetobacter	baumannii		static		2252.0	3.0
373	NC_016979	Klebsiella	pneumoniae		static		5247.0	6.0
374	NC_016980	Klebsiella	pneumoniae		mosaic		267242.0	180.0
375	NC_016976	Klebsiella	pneumoniae		mosaic		170810.0	202.0
376	NC_017213	Bacillus	thuringiensis		mosaic		2061.0	2.0
377	NC_017197	Bacillus	thuringiensis		mosaic		2062.0	2.0
378	NC_017489	Lactococcus	lactis		static		8277.0	10.0
379	NC_017478	Lactococcus	lactis		static		47165.0	40.0
380	NC_017772	Pseudonocardia	dioxanivorans		static		24346.0	18.0
381	NC_005705	Acidipropionibacterium	jensenii		mosaic		6868.0	10.0
382	NC_002799	Lactococcus	lactis		static		4640.0	3.0
383	NC_003101	Lactococcus	lactis		static		8278.0	7.0
384	NC_004058	Haemophilus	influenzae		mosaic		32379.0	34.0
385	NC_004772	Pasteurella	multocida		static		5252.0	5.0
386	NC_003201	Oenococcus	oeni		static		2544.0	3.0
387	NC_004769	Bifidobacterium	longum		mosaic		3684.0	3.0
388	NC_004770	Bifidobacterium	longum		static		3538.0	4.0
389	NC_008444	Escherichia	coli		static		3172.0	1.0
390	NC_008436	Lactococcus	lactis		static		3602.0	3.0
391	NC_008445	Enterococcus	faecalis		mosaic		50237.0	57.0
392	NC_010290	Enterococcus	faecium		static		3175.0	3.0
393	NC_010291	Enterococcus	faecium		static		4147.0	2.0
394	NC_002798	Lactococcus	lactis		mosaic		7784.0	9.0
395	NC_002150	Lactococcus	lactis		mosaic		6159.0	7.0
396	NC_005017	Yersinia	enterocolitica		mosaic		67720.0	66.0
397	NC_005088	Delftia	acidovorans		mosaic		67066.0	69.0
398	NC_013506	Acinetobacter	baumannii		mosaic		10270.0	7.0
399	NC_016042	Lactococcus	lactis		static		16181.0	7.0
400	NC_016967	Enterococcus	faecium		mosaic		68058.0	63.0
401	NC_017908	Mycobacterium	abscessus		mosaic		56265.0	61.0
402	NC_010257	Escherichia	coli		mosaic		32014.0	38.0
403	NC_005054	Staphylococcus	aureus		mosaic		57889.0	57.0
404	NC_001995	Staphylococcus	aureus		static		1551.0	2.0
405	NC_005127	Staphylococcus	aureus		mosaic		21845.0	25.0
406	NC_005908	Staphylococcus	aureus		static		3728.0	5.0
407	NC_013514	Enterococcus	faecalis		mosaic		27815.0	32.0
408	NC_002138	Lactococcus	lactis		mosaic		6159.0	3.0
409	NC_017498	Lactococcus	lactis		mosaic		10372.0	13.0
410	NC_017500	Lactococcus	lactis		static		75814.0	61.0
411	NC_013551	Lactococcus	lactis		mosaic		13332.0	14.0
412	NC_010281	Bacillus	thuringiensis		static		12095.0	11.0
413	NC_010895	Bacillus	thuringiensis		static		14841.0	13.0
414	NC_004443	Bifidobacterium	longum		static		3624.0	2.0
415	NC_010112	Vibrio	sp.		static		52527.0	63.0
416	NC_002108	Bacillus	thuringiensis		mosaic		2062.0	2.0
417	NC_016601	Pseudonocardia	dioxanivorans		static		66907.0	55.0
418	NC_001372	Chlamydia	trachomatis		mosaic		7502.0	8.0
419	NC_009444	Pseudomonas	fluorescens		static		425094.0	474.0
420	NC_013128	Borrelia	burgdorferi		static		48220.0	58.0
421	NC_013319	Staphylococcus	aureus		mosaic		29254.0	32.0
422	NC_013320	Staphylococcus	aureus		mosaic		50429.0	57.0
423	NC_013289	Staphylococcus	aureus		mosaic		27068.0	36.0
424	NC_013372	Staphylococcus	epidermidis		mosaic		43807.0	55.0
425	NC_013387	Staphylococcus	sp.		mosaic		32487.0	42.0
426	NC_018952	Staphylococcus	aureus		mosaic		33701.0	43.0
427	NC_013338	Staphylococcus	aureus		mosaic		50500.0	55.0
428	NC_013339	Staphylococcus	aureus		mosaic		42198.0	50.0
429	NC_013309	Staphylococcus	aureus		mosaic		4439.0	3.0
430	NC_013311	Staphylococcus	aureus		mosaic		4439.0	3.0
