locus	IS26
NZ_CP011418.1	Present
NZ_CP011135.1	Present
NZ_CP006635.1	Present
NZ_CP010373.2	Present
NZ_CP010372.1	Present
NZ_CP010881.1	Present
NZ_CP009862.1	Present
NZ_CP009860.1	Present
NZ_CP009580.1	Present
NZ_CP009579.1	Present
NZ_CP007137.1	Present
NZ_CP006029.1	Present
NC_022651.1	Present
NZ_CP018426.1	Present
NZ_CP018424.1	Present
NZ_CP018436.1	Present
NZ_CP018435.1	Present
NZ_CP018434.1	Present
NZ_CP018432.1	Present
NZ_CP018431.1	Present
NZ_CP018430.1	Present
NC_017645.1	Present
NZ_CP015397.1	Present
NZ_CP015396.1	Present
NZ_CP015395.1	Present
NC_009838.1	Present
NC_011419.1	Present
NC_010488.1	Present
NZ_CP015383.1	Present
NZ_CP017283.1	Present
NZ_CP017287.1	Present
NZ_CP017285.1	Present
NC_013365.1	Present
NZ_CP015391.1	Present
NZ_CP015389.1	Present
NZ_CP015388.1	Present
NZ_CP015387.1	Present
NZ_CP017989.1	Present
NZ_CP017987.1	Present
NZ_CP018318.1	Present
NZ_CP018316.1	Present
NZ_CP017852.1	Present
NZ_CP017850.1	Present
NZ_CP018724.1	Present
NZ_CP018722.1	Present
NZ_CP018718.1	Present
NZ_CP018716.1	Present
NZ_CP018818.1	Present
NZ_CP018693.1	Present
NZ_CP018669.1	Present
NZ_CP018711.1	Present
NZ_CP018710.1	Present
NZ_CP018737.1	Present
NZ_CP018705.1	Present
NZ_CP018704.1	Present
NZ_CP018699.1	Present
NZ_CP018698.1	Present
NZ_CP018691.1	Present
NZ_CP018689.1	Present
NZ_CP018442.1	Present
NZ_CP018441.1	Present
NZ_CP018343.1	Present
NZ_CP018341.1	Present
NZ_CP018365.1	Present
NZ_CP018354.1	Present
NZ_CP018353.1	Present
NZ_CP018452.1	Present
NZ_CP018451.1	Present
NZ_CP018449.1	Present
NZ_CP018448.1	Present
NZ_CP018455.1	Present
NZ_CP018460.1	Present
NZ_CP017932.1	Present
NZ_CP017930.1	Present
NZ_CP012428.1	Present
NZ_CP011839.1	Present
NZ_CP017936.1	Present
NZ_CP017935.1	Present
NZ_CP016927.1	Present
NZ_CP016925.1	Present
NZ_CP017387.1	Present
NZ_CP017386.1	Present
NZ_CP012572.1	Present
NZ_CP012571.1	Present
NZ_CP012567.1	Present
NZ_CP012566.1	Present
NZ_CP012564.1	Present
NZ_CP016921.1	Present
NZ_CP016919.1	Present
NZ_CP016812.1	Present
NZ_CP016810.1	Present
NZ_CP015823.1	Present
NZ_CP017452.1	Present
NZ_CP017451.1	Present
NZ_CP014650.1	Present
NZ_CP014648.1	Present
NZ_CP014763.1	Present
NZ_CP015026.1	Present
NZ_CP015991.1	Present
NZ_CP015132.1	Present
NZ_CP015131.1	Present
NZ_CP011984.1	Present
NZ_CP011983.1	Present
NZ_CP011982.1	Present
NZ_CP011981.1	Present
NZ_CP015503.1	Present
NZ_CP015502.1	Present
NZ_CP012993.2	Present
NZ_CP012988.3	Present
NZ_AP014952.1	Present
NZ_CP014005.1	Present
NZ_CP006663.1	Present
NZ_CP006662.2	Present
NZ_CP013323.1	Present
NZ_CP011993.1	Present
NZ_CP011992.1	Present
NZ_CP011991.1	Present
NZ_CP011990.1	Present
NZ_CP011979.1	Present
NZ_CP011977.1	Present
NZ_CP011988.1	Present
NZ_CP011987.1	Present
NZ_CP011986.1	Present
NZ_CP009778.1	Present
NZ_CP009777.1	Present
NZ_CP009776.1	Present
NZ_CP006801.1	Present
NZ_CP006799.1	Present
NZ_CP009773.1	Present
NZ_CP011617.1	Present
NZ_CP011614.1	Present
NZ_CP011596.1	Present
NZ_CP011593.1	Present
NZ_CP011623.1	Present
NZ_CP011577.1	Present
NZ_CP011576.1	Present
NZ_CP011633.1	Present
NZ_CP011630.1	Present
NZ_CP011646.1	Present
NZ_CP011314.1	Present
NZ_CP010575.1	Present
NZ_CP010574.1	Present
NZ_CP010396.1	Present
NZ_CP010395.1	Present
NZ_CP010394.1	Present
NZ_CP010393.1	Present
NZ_CP010362.1	Present
NZ_CP010391.1	Present
NZ_CP010390.1	Present
NZ_CP008843.1	Present
NZ_CP008842.1	Present
NZ_CP009864.1	Present
NZ_CP009875.1	Present
NZ_CP009873.1	Present
NZ_CP008933.1	Present
NZ_CP008930.1	Present
NZ_CP007730.1	Present
NZ_CP007729.1	Present
NZ_CP007728.1	Present
NZ_CP008791.1	Present
NZ_CP008790.1	Present
NZ_CP008789.1	Present
NZ_CP008799.1	Present
NZ_CP008798.1	Present
NZ_CP009879.1	Present
NZ_CP007736.1	Present
NZ_CP007734.1	Present
NZ_CP007733.1	Present
NZ_CP007732.1	Present
NZ_CP008833.1	Present
NZ_CP008832.1	Present
NZ_CP008830.1	Present
NZ_CP008829.1	Present
NZ_CP008828.1	Present
NZ_CP006926.1	Present
NZ_CP006922.1	Present
NZ_CP006919.1	Present
NC_021501.1	Present
NC_018107.1	Present
NC_009651.1	Present
NC_009650.1	Present
NZ_CP004000.1	Present
NZ_CP003998.1	Present
NC_022078.1	Present
NZ_CP018815.1	Present
NZ_CP016215.1	Present
NZ_CP015623.1	Present
NZ_CP017055.1	Present
NC_032103.1	Present
NC_009141.1	Present
NZ_CP017059.1	Present
NZ_CP017058.1	Present
NC_021492.1	Present
NZ_CP016764.1	Present
NZ_CP016763.1	Present
NZ_CP009853.1	Present
NZ_CP009852.1	Present
NZ_CP012169.1	Present
NZ_CP012168.1	Present
NZ_CP007558.1	Present
NZ_CP014069.1	Present
NZ_CP012170.1	Present
NZ_CP010363.1	Present
NZ_CP009870.1	Present
NZ_CP009869.1	Present
NZ_CP009868.1	Present
NZ_CP009867.1	Present
NZ_CP009884.1	Present
NZ_CP009883.1	Present
NZ_CP009881.1	Present
NZ_CP008908.1	Present
NZ_CP008906.1	Present
NZ_CP008901.1	Present
NZ_CP008899.1	Present
NZ_CP008898.1	Present
NZ_CP009858.1	Present
NZ_CP009857.1	Present
NZ_CP009856.1	Present
NZ_CP011611.1	Present
NZ_CP011610.1	Present
NZ_CP011601.1	Present
NZ_CP011589.1	Present
NZ_CP011587.1	Present
NZ_CP011639.1	Present
NZ_CP011654.1	Present
NZ_CP011653.1	Present
NZ_CP008825.1	Present
NZ_CP008824.1	Present
NZ_CP017782.1	Present
NC_014107.1	Present
NC_017659.1	Present
NC_016846.1	Present
NC_016839.1	Present
NC_003384.1	Present
NZ_CP016381.1	Present
NZ_CP014493.1	Present
NZ_CP012139.1	Present
NZ_CP012143.1	Present
NZ_CP012141.1	Present
NZ_CP014775.1	Present
NZ_CP012956.1	Present
NC_023330.1	Present
NC_020087.1	Present
NC_020086.1	Present
NC_010558.1	Present
NC_025106.1	Present
NC_024983.1	Present
NC_023290.1	Present
NC_023276.1	Present
NC_023275.1	Present
NC_022522.2	Present
NC_019424.1	Present
NC_023898.1	Present
NC_021667.1	Present
NC_021666.1	Present
NC_021655.1	Present
NC_021654.1	Present
NC_021180.1	Present
NC_020132.1	Present
NC_019161.1	Present
NC_025182.1	Present
NC_024967.1	Present
NC_023907.1	Present
NC_023289.2	Present
NC_023277.2	Present
NC_020278.2	Present
NC_019098.1	Present
NC_010119.1	Present
NC_009981.1	Present
NC_019107.1	Present
NC_019105.1	Present
NC_013437.1	Present
NC_006816.1	Present
NC_003292.1	Present
NC_019124.1	Present
NC_012693.1	Present
NC_019137.1	Present
NC_019122.1	Present
NC_019116.1	Present
NC_024955.2	Present
NZ_CP012007.1	Present
NZ_AP014650.1	Present
NC_019906.1	Present
NZ_CP007636.1	Present
NZ_CP009563.1	Present
NZ_CP009564.1	Present
NZ_CP009560.1	Present
NZ_CP009562.1	Present
NC_024979.1	Present
NC_024977.1	Present
NC_025176.1	Present
NC_025166.1	Present
NC_025143.1	Present
NC_025142.1	Present
NC_025187.1	Present
NC_025186.1	Present
NC_025185.1	Present
NC_025184.1	Present
NC_025175.1	Present
NC_025183.1	Present
NC_025167.1	Present
NC_025144.1	Present
NC_025141.1	Present
NC_025138.1	Present
NC_025131.1	Present
NC_025130.1	Present
NC_024997.1	Present
NC_025019.1	Present
NC_024974.1	Present
NC_014725.1	Present
NC_008690.1	Present
NC_012919.1	Present
NC_014231.1	Present
NC_023905.1	Present
NC_023914.1	Present
NC_023909.1	Present
NC_023906.1	Present
NC_003905.1	Present
NC_019091.1	Present
NC_019090.1	Present
NC_019089.1	Present
NC_019047.1	Present
NC_023904.1	Present
NC_023903.1	Present
NC_023911.1	Present
NC_023910.1	Present
NC_023332.1	Present
NC_023326.1	Present
NC_023323.1	Present
NC_022996.1	Present
NC_022992.1	Present
NC_022885.1	Present
NC_022652.1	Present
NC_022375.1	Present
NC_021622.1	Present
NC_021576.1	Present
NC_021238.1	Present
NC_021199.1	Present
NC_021198.1	Present
NC_021079.1	Present
NC_021078.1	Present
NC_020893.1	Present
NC_020811.1	Present
NC_020552.1	Present
NC_020280.1	Present
NC_020271.1	Present
NC_007800.1	Present
NC_004939.1	Present
NC_014384.1	Present
NC_013951.1	Present
NC_020088.1	Present
NC_019889.1	Present
NC_019389.1	Present
NC_019360.1	Present
NC_019375.1	Present
NC_019267.1	Present
NC_019254.1	Present
NC_019156.1	Present
NC_019165.1	Present
NC_019162.1	Present
NC_019155.1	Present
NC_019063.1	Present
NC_019095.1	Present
NC_019074.1	Present
NC_019073.1	Present
NC_019066.1	Present
NC_019065.1	Present
NC_019087.1	Present
NC_019082.1	Present
NC_019061.1	Present
NC_019043.1	Present
NC_019037.1	Present
NC_019033.1	Present
NC_016980.1	Present
NC_016974.1	Present
NC_016966.1	Present
NC_013121.1	Present
NC_011382.1	Present
NC_012555.1	Present
NC_007682.3	Present
NC_014843.1	Present
NC_014615.1	Present
NC_014385.1	Present
NC_014368.1	Present
NC_014208.1	Present
NC_014016.1	Present
NC_013728.1	Present
NG_050410.1	Absent
NG_049247.1	Absent
NC_018510.1	Absent
NC_019773.1	Absent
NC_012853.1	Absent
NZ_CP009294.1	Absent
NZ_CP008942.1	Absent
NC_019012.1	Absent
NZ_CP013143.1	Absent
NC_005016.1	Absent
NG_048955.1	Absent
NC_017734.1	Absent
NC_019128.1	Absent
NC_012235.1	Absent
NC_017133.1	Absent
NZ_CP011585.1	Absent
NC_012733.1	Absent
NZ_CP006880.1	Absent
NC_007678.1	Absent
NC_004533.1	Absent
NC_014908.1	Absent
NC_007094.1	Absent
NZ_CP009021.1	Absent
NC_007790.1	Absent
NG_047342.1	Absent
NC_009806.1	Absent
NZ_CP018112.1	Absent
NC_018742.1	Absent
NZ_AP014883.1	Absent
NC_010870.1	Absent
NC_002252.1	Absent
NZ_CP018342.1	Absent
NZ_CP009804.1	Absent
NZ_CP013214.1	Absent
NC_020885.1	Absent
NC_020542.1	Absent
NC_013950.1	Absent
NC_011407.1	Absent
NZ_CP014901.1	Absent
NG_047231.1	Absent
NG_050260.1	Absent
NC_006823.1	Absent
NZ_LN890332.1	Absent
NC_010408.1	Absent
NZ_CP004318.1	Absent
NZ_CP009599.1	Absent
NZ_CP011523.1	Absent
NZ_CP013157.1	Absent
NC_017118.1	Absent
NZ_CP012916.1	Absent
NZ_CP007500.1	Absent
NZ_CP007186.1	Absent
NZ_CP013159.1	Absent
NC_009795.1	Absent
NC_025020.1	Absent
NC_001372.1	Absent
NZ_CP014311.1	Absent
NG_052269.1	Absent
NC_010332.1	Absent
NC_006140.1	Absent
NZ_CP010587.1	Absent
NC_007141.1	Absent
NC_020269.1	Absent
NC_017064.1	Absent
NZ_CP018764.1	Absent
NC_015188.1	Absent
NC_020959.1	Absent
NC_017479.1	Absent
NC_014561.1	Absent
NZ_CP010202.1	Absent
NC_013210.1	Absent
NC_018883.1	Absent
NZ_CP019199.1	Absent
NC_019202.1	Absent
NG_048557.1	Absent
NZ_CP004298.1	Absent
NZ_LN831037.1	Absent
NZ_CP013782.1	Absent
NG_048920.1	Absent
NC_003158.1	Absent
NZ_CP004324.1	Absent
NC_021652.1	Absent
NZ_CP006641.1	Absent
NG_048100.1	Absent
NC_018288.1	Absent
NC_018606.1	Absent
NZ_CP011357.1	Absent
NC_020962.1	Absent
NZ_CP014240.1	Absent
NZ_CP017300.1	Absent
NZ_CP014447.1	Absent
NC_020413.1	Absent
NC_022585.1	Absent
NZ_CP009123.1	Absent
NC_017129.1	Absent
NZ_CP014694.1	Absent
NZ_CP005729.1	Absent
NZ_CP006879.1	Absent
NC_017124.1	Absent
NZ_CP013648.1	Absent
NZ_CP003955.1	Absent
NZ_CP014091.1	Absent
NZ_CP016535.2	Absent
NC_019016.1	Absent
NC_020818.1	Absent
NC_010890.1	Absent
NZ_CP014484.1	Absent
NZ_CP015360.1	Absent
NZ_CP011049.1	Absent
NZ_CP004232.1	Absent
NC_020563.2	Absent
NC_018674.1	Absent
NG_050515.1	Absent
NZ_CP012429.1	Absent
NC_021993.1	Absent
NZ_CP015738.1	Absent
NZ_CP015201.1	Absent
NZ_CP017643.1	Absent
NZ_CP011335.1	Absent
NZ_CP014968.1	Absent
NZ_CP016522.1	Absent
NZ_CP015440.1	Absent
NZ_CP010002.1	Absent
NZ_CP019068.1	Absent
NC_022105.1	Absent
NZ_CP009036.1	Absent
NZ_CP016558.1	Absent
NC_005014.1	Absent
NC_010492.1	Absent
NC_016042.1	Absent
NC_002149.1	Absent
NC_020947.1	Absent
NZ_CP013760.1	Absent
NC_013313.1	Absent
NC_018499.1	Absent
NC_019371.1	Absent
NC_012106.1	Absent
NZ_CP005792.1	Absent
NG_048148.1	Absent
NC_025012.1	Absent
NC_011862.1	Absent
NZ_CP012975.1	Absent
NC_007771.1	Absent
NC_021828.1	Absent
NZ_CP010142.1	Absent
NZ_CP005994.1	Absent
NZ_CP015221.1	Absent
NZ_CP013938.1	Absent
NZ_CP011869.1	Absent
NC_007098.1	Absent
NZ_CP015802.1	Absent
NC_005242.1	Absent
NG_048916.1	Absent
NC_004163.1	Absent
NC_016110.1	Absent
NC_015165.1	Absent
NC_014154.1	Absent
NC_009966.1	Absent
NC_019426.1	Absent
NZ_CP015295.1	Absent
NZ_CP014747.1	Absent
NC_018987.1	Absent
NZ_CP013956.1	Absent
NG_050190.1	Absent
NZ_FO818639.1	Absent
NC_015922.1	Absent
NZ_CP007257.1	Absent
NZ_CP007575.1	Absent
NC_019240.1	Absent
NZ_CP010909.1	Absent
NZ_CP014089.1	Absent
NZ_CP018621.1	Absent
NZ_CP010016.1	Absent
NC_019153.1	Absent
NC_016851.1	Absent
NZ_CP018231.1	Absent
NC_032098.1	Absent
NC_018694.1	Absent
NC_017822.1	Absent
NG_047414.1	Absent
NZ_CP015009.1	Absent
NZ_CP013982.1	Absent
NZ_CP010862.1	Absent
NC_015903.1	Absent
NZ_CP006756.1	Absent
NC_011760.1	Absent
NZ_CP004319.1	Absent
NZ_HG916854.1	Absent
NZ_CP005857.1	Absent
NC_007950.1	Absent
NZ_CP012536.1	Absent
NZ_CP013044.1	Absent
NZ_CP018357.1	Absent
NC_013329.1	Absent
NC_025099.1	Absent
NC_019357.1	Absent
NC_013972.1	Absent
NZ_CP014534.1	Absent
NC_019060.1	Absent
NC_012236.1	Absent
NC_010542.1	Absent
NC_004464.2	Absent
NC_019292.1	Absent
NZ_CP016515.1	Absent
NC_004534.1	Absent
NC_020562.1	Absent
NC_011664.1	Absent
NZ_CP013047.1	Absent
NC_017134.1	Absent
NC_010881.1	Absent
NZ_CP010532.1	Absent
NC_013785.1	Absent
NZ_CP006028.1	Absent
NZ_CP018288.1	Absent
NC_007621.1	Absent
NZ_CP011656.1	Absent
NC_005127.1	Absent
NC_012148.1	Absent
NT_167350.1	Absent
NC_004965.1	Absent
NZ_CP015333.1	Absent
NC_019900.1	Absent
NZ_CP018236.1	Absent
NZ_CP010369.1	Absent
NC_008388.1	Absent
NZ_CP011143.1	Absent
NC_003101.1	Absent
NG_048467.1	Absent
NZ_CP015319.1	Absent
NC_021233.2	Absent
NZ_CP014422.1	Absent
NZ_CP009260.1	Absent
NC_012627.1	Absent
NC_019045.2	Absent
NZ_CP008844.1	Absent
NC_014300.1	Absent
NG_048899.1	Absent
NC_010029.2	Absent
NC_005969.1	Absent
NC_007717.1	Absent
NZ_CP014496.1	Absent
NC_010683.1	Absent
NZ_CP018755.1	Absent
NC_017335.1	Absent
NC_020129.1	Absent
NC_001431.1	Absent
NC_020955.1	Absent
NG_048853.1	Absent
NZ_CP013725.1	Absent
NC_002142.1	Absent
NG_052314.1	Absent
NZ_CP019205.1	Absent
NZ_CP013968.1	Absent
NG_050182.1	Absent
NC_008442.1	Absent
NC_016150.1	Absent
NZ_CP017132.1	Absent
NZ_CP014764.1	Absent
NZ_CP012990.1	Absent
NZ_CP009916.1	Absent
NC_007431.1	Absent
NZ_CP018279.1	Absent
NC_020123.1	Absent
NZ_CP015881.1	Absent
NC_013589.1	Absent
NC_002141.1	Absent
NC_015952.1	Absent
NG_048117.1	Absent
NZ_CP004278.1	Absent
NC_017241.1	Absent
NC_017908.2	Absent
NZ_CP004151.1	Absent
NC_011497.1	Absent
NZ_CP005736.1	Absent
NZ_AP014686.1	Absent
NC_006909.1	Absent
NC_019038.1	Absent
NZ_CP004292.1	Absent
NC_016814.1	Absent
NC_025158.1	Absent
NC_012192.1	Absent
NZ_CP014800.1	Absent
NZ_CP015242.1	Absent
NC_013925.1	Absent
NZ_CP013941.1	Absent
NC_005952.1	Absent
NZ_CP004311.1	Absent
NC_021732.1	Absent
NG_050482.1	Absent
NZ_CP004199.1	Absent
NZ_CP011044.1	Absent
NZ_CP014625.1	Absent
NC_021572.1	Absent
NC_014332.1	Absent
NC_017642.1	Absent
NC_016636.1	Absent
NC_012258.1	Absent
NC_013749.1	Absent
NC_009131.1	Absent
NZ_CP018613.1	Absent
NG_047726.1	Absent
NC_023012.1	Absent
NC_012178.1	Absent
NC_017139.1	Absent
NZ_CP004274.1	Absent
NC_011642.1	Absent
NC_004941.1	Absent
NG_047632.1	Absent
NC_016853.1	Absent
NZ_CP012852.1	Absent
NZ_CP011641.1	Absent
NC_018488.1	Absent
NG_047470.1	Absent
NC_021056.1	Absent
NZ_CP014399.1	Absent
NC_004922.1	Absent
NG_050559.1	Absent
NZ_CP004300.1	Absent
NC_002098.1	Absent
NC_010722.1	Absent
NC_017070.1	Absent
NC_007389.1	Absent
NC_011665.1	Absent
NG_047869.1	Absent
NZ_CP010971.1	Absent
NC_021527.1	Absent
NZ_CP012267.1	Absent
NC_004944.1	Absent
NZ_CP008997.1	Absent
NZ_CP014074.1	Absent
NZ_CP014514.1	Absent
NZ_CP010865.1	Absent
NZ_CP008994.1	Absent
NC_008014.1	Absent
NG_048403.1	Absent
NC_015950.1	Absent
NC_010672.1	Absent
NZ_CP010004.1	Absent
NZ_CP012293.1	Absent
NC_008445.1	Absent
NC_006871.1	Absent
NC_012916.1	Absent
NC_012090.1	Absent
NC_004836.1	Absent
NZ_CP016031.1	Absent
NZ_CP018747.1	Absent
NZ_CP018752.1	Absent
NZ_CP017412.1	Absent
NZ_CP012100.1	Absent
NG_050283.1	Absent
NC_025023.1	Absent
NG_052227.1	Absent
NZ_CP007006.1	Absent
NZ_CP013518.1	Absent
NZ_CP014253.1	Absent
NZ_CP004218.1	Absent
NZ_CP012427.1	Absent
NC_001949.1	Absent
NC_019112.1	Absent
NZ_CP010009.1	Absent
NC_011351.1	Absent
NG_047698.1	Absent
NC_020951.1	Absent
NZ_CP012286.1	Absent
NC_020298.1	Absent
NZ_CP014523.1	Absent
NZ_CP017887.1	Absent
NZ_CP010123.1	Absent
NZ_CP016630.1	Absent
NZ_CP016011.1	Absent
NZ_CP007036.1	Absent
NZ_CP004230.1	Absent
NC_017126.1	Absent
NZ_CP004314.1	Absent
NC_021876.1	Absent
NZ_CP018880.1	Absent
NZ_CP012416.1	Absent
NZ_CP010826.1	Absent
NZ_CP013777.1	Absent
NZ_CP016452.1	Absent
NC_004770.1	Absent
NC_022783.1	Absent
NG_050351.1	Absent
NZ_CP017422.1	Absent
NC_012195.1	Absent
NZ_CP013691.1	Absent
NZ_CP017105.1	Absent
NZ_CP018980.1	Absent
NZ_CP018246.1	Absent
NZ_CP010161.1	Absent
NC_020306.1	Absent
NG_049223.1	Absent
NC_011746.1	Absent
NG_047794.1	Absent
NC_004987.1	Absent
NZ_CP009216.1	Absent
NZ_CP014318.1	Absent
NZ_CP009779.1	Absent
NC_012520.1	Absent
NC_014007.1	Absent
NZ_CP009363.1	Absent
NC_005702.1	Absent
NG_048194.1	Absent
NZ_CP012929.1	Absent
NZ_AP014817.1	Absent
NC_011385.1	Absent
NC_013449.1	Absent
NG_047534.1	Absent
NC_011262.1	Absent
NC_010261.1	Absent
NC_020293.1	Absent
NC_012562.1	Absent
NC_011514.1	Absent
NZ_AP014943.1	Absent
NC_013304.1	Absent
NG_047483.1	Absent
NC_017201.1	Absent
NC_007365.1	Absent
NG_049326.1	Absent
NZ_CP014597.1	Absent
NZ_CP006988.1	Absent
NZ_CP011249.1	Absent
NC_023901.1	Absent
NZ_CP019631.1	Absent
NC_016113.1	Absent
NZ_CP017877.1	Absent
NC_007968.1	Absent
NC_018423.1	Absent
NC_015065.1	Absent
NZ_CP010533.1	Absent
NC_009474.1	Absent
NC_002109.1	Absent
NC_012782.1	Absent
NC_008320.1	Absent
NC_007961.1	Absent
NZ_CP018736.1	Absent
NC_011526.1	Absent
NZ_CP010212.1	Absent
NC_003846.1	Absent
NZ_CP011625.1	Absent
NC_019280.1	Absent
NC_014308.1	Absent
NC_025151.1	Absent
NZ_CP004869.1	Absent
NC_012797.1	Absent
NC_017113.1	Absent
NC_011987.1	Absent
NC_002100.1	Absent
NC_011812.1	Absent
NZ_CP009634.1	Absent
NZ_CP009064.1	Absent
NC_016823.1	Absent
NZ_CP013526.1	Absent
NZ_CP014083.1	Absent
NC_012252.1	Absent
NC_021907.1	Absent
NG_048046.1	Absent
NZ_CP005853.1	Absent
NZ_CP015940.1	Absent
NZ_LN554854.1	Absent
NZ_CP016038.1	Absent
NG_049119.1	Absent
NC_019285.1	Absent
NC_025160.1	Absent
NC_008378.1	Absent
NZ_CP004273.1	Absent
NC_012181.1	Absent
NC_019350.1	Absent
NZ_CP013668.1	Absent
NC_001758.1	Absent
NC_012114.1	Absent
NZ_CP011666.1	Absent
NZ_CP008720.1	Absent
NC_005324.1	Absent
NZ_CP018715.1	Absent
NC_020560.1	Absent
NZ_CP013553.1	Absent
NC_013727.1	Absent
NZ_CP015370.1	Absent
NZ_CP010069.1	Absent
NZ_AP013064.1	Absent
NC_015060.1	Absent
NZ_CP007000.1	Absent
NZ_CP015083.1	Absent
NZ_CP014938.1	Absent
NC_003425.1	Absent
NC_015517.1	Absent
NZ_CP018096.1	Absent
NZ_CP015181.1	Absent
NZ_CP005742.1	Absent
NZ_CP005800.1	Absent
NC_012851.1	Absent
NC_018969.1	Absent
NC_013539.1	Absent
NC_013973.1	Absent
NZ_CP009317.1	Absent
NC_014557.1	Absent
NZ_CP014312.1	Absent
NC_012923.1	Absent
NC_020946.1	Absent
NC_020525.1	Absent
NC_020165.1	Absent
NC_010426.1	Absent
NZ_CP012121.1	Absent
NZ_CP004159.1	Absent
NC_019014.1	Absent
NC_019741.1	Absent
NZ_KT072713.1	Absent
NZ_CP013739.1	Absent
NC_006870.1	Absent
NC_011792.1	Absent
NZ_CP004183.1	Absent
NC_001275.1	Absent
NC_018886.1	Absent
NC_013212.1	Absent
NC_009980.1	Absent
NC_012661.1	Absent
NC_003921.3	Absent
NC_019747.1	Absent
NZ_CP005697.1	Absent
NC_014959.1	Absent
NZ_LN614829.1	Absent
NC_009496.1	Absent
NC_018023.1	Absent
NZ_CP016441.1	Absent
NC_020985.1	Absent
NZ_LT571450.1	Absent
NC_006829.1	Absent
NC_023915.1	Absent
NZ_CP004204.1	Absent
NZ_CP019134.1	Absent
NG_048926.1	Absent
NZ_CP014080.1	Absent
NZ_CP005710.1	Absent
NC_017795.1	Absent
NC_019762.1	Absent
NC_012528.1	Absent
NC_011603.1	Absent
NC_011245.1	Absent
NC_012548.1	Absent
NZ_CP008717.1	Absent
NC_014105.1	Absent
NC_021724.1	Absent
NC_017185.1	Absent
NZ_CP016929.1	Absent
NC_009931.1	Absent
NC_011759.1	Absent
NC_001765.1	Absent
NC_017336.1	Absent
NZ_CP014203.1	Absent
NG_049109.1	Absent
NC_025098.1	Absent
NZ_CP017710.1	Absent
NC_002013.1	Absent
NZ_CP018941.1	Absent
NC_006134.1	Absent
NC_019218.1	Absent
NC_019685.1	Absent
NZ_CP019173.1	Absent
NC_004997.1	Absent
NZ_CP014200.1	Absent
NC_010422.1	Absent
NZ_CP017960.1	Absent
